,dataset,n_observations,approach,parameter,parameter_value,avg_time,time_0,time_1,time_2,time_3,time_4,time_5,time_6,time_7,time_8,time_9,agreement_kendall_0,agreement_kendall_1,agreement_kendall_2,agreement_kendall_3,agreement_kendall_4,agreement_kendall_5,agreement_kendall_6,agreement_kendall_7,agreement_kendall_8,agreement_kendall_9,agreement_jaccard2_0,agreement_jaccard2_1,agreement_jaccard2_2,agreement_jaccard2_3,agreement_jaccard2_4,agreement_jaccard2_5,agreement_jaccard2_6,agreement_jaccard2_7,agreement_jaccard2_8,agreement_jaccard2_9,agreement_euclidean_0,agreement_euclidean_1,agreement_euclidean_2,agreement_euclidean_3,agreement_euclidean_4,agreement_euclidean_5,agreement_euclidean_6,agreement_euclidean_7,agreement_euclidean_8,agreement_euclidean_9,fidelity_0,fidelity_1,fidelity_2,fidelity_3,fidelity_4,fidelity_5,fidelity_6,fidelity_7,fidelity_8,fidelity_9
10,Higher Education,100,rank_rank,sample_size,1000.0,36.740517258644104,36.4987576007843,36.738017082214355,36.58257818222046,36.45235061645508,36.44398355484009,37.120996952056885,36.642462968826294,36.61487030982971,37.38561034202576,36.92554497718811,0.998,1.0,0.9969999999999999,0.9969999999999999,0.998,0.9990000000000001,0.9990000000000001,0.9990000000000001,0.9990000000000001,0.9990000000000001,0.9933333333333334,1.0,0.98,0.9866666666666666,0.9933333333333333,1.0,0.9933333333333333,1.0,1.0,1.0,0.9975701932813188,0.997969553198727,0.9951666354512221,0.996169721850636,0.9980856117583603,0.9976177530625976,0.9980457814397486,0.9971678739611689,0.9964422927051203,0.9976044072815347,0.9991781745283019,0.9993218225689405,0.9986723855829704,0.9981853195452346,0.9995732092404451,0.9992853737300436,0.999370261852927,0.9993894862119013,0.9995729949201742,0.9992315751088534
11,Higher Education,100,rank_rank,sample_size,1378.0,50.17944009304047,50.20686936378479,50.38537240028381,50.30561089515686,50.27483630180359,50.222023725509644,50.11597299575806,50.08836531639099,50.080132722854614,50.01126289367676,50.10395431518555,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
12,Higher Education,100,rank_score_rank_score,,,1.1116836786270141,1.101881980895996,1.124704122543335,1.1217060089111328,1.1310296058654785,1.1283397674560547,1.1003568172454834,1.106938362121582,1.0729844570159912,1.1187036037445068,1.110192060470581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
13,Higher Education,100,rank_score_rank_score,coalition_size,1.0,0.4237091541290283,0.4235384464263916,0.42157745361328125,0.4348275661468506,0.42488861083984375,0.4222564697265625,0.42232394218444824,0.42565131187438965,0.42211246490478516,0.4252350330352783,0.41468024253845215,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,0.9999999999999999,0.9999999999999997,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,1.0,0.9147324487909543,0.9147324487909543,0.9147324487909543,0.9147324487909543,0.9147324487909543,0.9147324487909543,0.9147324487909543,0.9147324487909543,0.9147324487909543,0.9147324487909543
14,Higher Education,100,rank_score_rank_score,coalition_size,2.0,0.8105962991714477,0.8192765712738037,0.8091278076171875,0.8012595176696777,0.818687915802002,0.8116011619567871,0.8086159229278564,0.8141164779663086,0.8101754188537598,0.8022198677062988,0.8108823299407959,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,1.0,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,1.0,1.0,0.9999999999999999,1.0,0.9431549658606363,0.9431549658606363,0.9431549658606362,0.9431549658606362,0.9431549658606362,0.9431549658606362,0.9431549658606362,0.9431549658606363,0.9431549658606362,0.9431549658606362
15,Higher Education,100,rank_score_rank_score,coalition_size,3.0,1.0425399780273437,1.0481719970703125,1.0321450233459473,1.064439058303833,1.0543909072875977,1.0488874912261963,1.036733865737915,1.0410435199737549,1.022979974746704,1.0292930603027344,1.0473148822784424,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,1.0,1.0,1.0,0.9715774829303179,0.971577482930318,0.9715774829303179,0.9715774829303179,0.9715774829303179,0.9715774829303179,0.9715774829303179,0.9715774829303179,0.9715774829303179,0.9715774829303179
16,Higher Education,100,rank_score_rank_score,coalition_size,4.0,1.1095248699188232,1.0933012962341309,1.1221389770507812,1.104597568511963,1.0938873291015625,1.1346652507781982,1.103478193283081,1.1076135635375977,1.1280970573425293,1.0966098308563232,1.1108596324920654,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,1.0,1.0,0.9999999999999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
17,Higher Education,100,rank_score_rank_score,sample_size,20.0,0.1573807716369629,0.15628504753112793,0.1578817367553711,0.16691255569458008,0.15683984756469727,0.15730977058410645,0.15734028816223145,0.1472306251525879,0.15625715255737305,0.15840768814086914,0.15934300422668457,0.9870000000000002,0.9820000000000002,0.977,0.975,0.9700000000000002,0.9790000000000001,0.9790000000000001,0.9670000000000002,0.9830000000000001,0.9840000000000001,0.9533333333333333,0.9399999999999998,0.94,0.9199999999999998,0.8666666666666666,0.9266666666666667,0.9466666666666668,0.8733333333333333,0.9266666666666665,0.9266666666666665,0.9772618353887492,0.9682992096043425,0.9669634512628594,0.9633163004817817,0.9525276270944585,0.9725549152635637,0.9664742091232901,0.9569049238222673,0.9665731896091895,0.9682987992538559,0.9967493943068854,0.9957467605105434,0.989663009578611,0.990913126656007,0.9921945951163192,0.9963473162040948,0.9916334769738989,0.9913001574897038,0.9961349886021492,0.9932023748222376
18,Higher Education,100,rank_score_rank_score,sample_size,50.0,0.234503173828125,0.23387765884399414,0.23995542526245117,0.22963833808898926,0.23244595527648926,0.2271263599395752,0.23919677734375,0.24060320854187012,0.22859549522399902,0.23676633834838867,0.23682618141174316,0.9890000000000001,0.976,0.9840000000000001,0.9820000000000002,0.9840000000000001,0.9810000000000002,0.9770000000000002,0.9810000000000002,0.981,0.9890000000000001,0.96,0.9333333333333332,0.9733333333333333,0.9466666666666668,0.9333333333333332,0.9266666666666665,0.9333333333333332,0.9533333333333333,0.9399999999999998,0.9533333333333333,0.9785725701949818,0.9742955163100482,0.9794326387084072,0.9754904877936785,0.9746061278957714,0.9743254333074342,0.9744354005537333,0.9738804914036036,0.9748521536004737,0.9753716431262016,0.9965078915887553,0.9954659699680785,0.9970809861049248,0.9963629465002741,0.9952621113148643,0.9960355076783037,0.9952615157715521,0.996230282836148,0.9960423015307831,0.9928563413158851
19,Higher Education,100,rank_score_rank_score,sample_size,100.0,0.26533448696136475,0.2624967098236084,0.2589733600616455,0.2627730369567871,0.2671034336090088,0.27772998809814453,0.269927978515625,0.25675535202026367,0.25899577140808105,0.2745945453643799,0.2639946937561035,0.987,0.995,0.995,0.9880000000000001,0.9890000000000001,0.986,0.985,0.9880000000000001,0.985,0.9910000000000001,0.9266666666666667,0.9866666666666666,0.98,0.94,0.94,0.9333333333333332,0.9599999999999999,0.96,0.96,0.9333333333333332,0.9821353708152821,0.984161996174945,0.9822844424355566,0.9791350130030458,0.9784841977600698,0.9777446913933105,0.9794293159798505,0.9820010676483959,0.982998853447453,0.9828822154985716,0.9969876748253218,0.9968020469223121,0.9963349479724535,0.9960322437980369,0.997454090792826,0.9966701536427597,0.9970693535870019,0.9971381975283704,0.9974747813558116,0.9967382289218635
