qid,gender,race,weight_lifting_ability
2,-1019691.1111111111,-714442.2222222222,-225146.66666666663
2,617460.0,-1118073.3333333333,-433733.3333333334
2,675388.8888888889,514024.44444444444,75188.88888888889
2,-1198591.111111111,554788.8888888889,627988.8888888889
2,-1173213.3333333335,450137.7777777778,798284.4444444444
2,610866.6666666667,-1190522.2222222222,-47368.88888888889
2,-723788.8888888888,-678226.6666666667,2508562.222222222
2,718791.1111111111,461413.33333333326,-722855.5555555555
2,774613.3333333335,578260.0,101566.66666666666
2,701480.0,536297.7777777778,337715.5555555556
2,-1146257.7777777778,386726.6666666666,-805753.3333333335
2,815277.7777777778,508602.2222222222,-248997.7777777778
2,744235.5555555555,540200.0,101346.66666666666
2,718791.1111111111,524597.7777777778,-761048.8888888889
2,734986.6666666667,483615.5555555556,-719186.6666666665
2,-1030508.8888888888,-934520.0,-8344.44444444445
2,-681860.0,442253.3333333334,2025077.7777777778
2,800120.0,537680.0,-434882.2222222222
2,-1174000.0,456460.0,482140.0
2,535440.0,-1105437.7777777778,-627844.4444444444
2,725977.7777777778,467113.33333333326,-689948.8888888889
2,-984933.3333333335,-900440.0,-35468.88888888889
2,-1227500.0,404311.1111111111,-703382.2222222224
2,-991873.3333333335,-976173.3333333335,74882.22222222222
2,-962691.1111111111,-952171.1111111111,61393.33333333334
2,648715.5555555556,405766.6666666666,795331.1111111111
2,590511.1111111111,-1135686.6666666665,-450711.1111111111
2,627575.5555555555,-1148353.3333333335,-229131.11111111112
2,-992402.2222222222,528151.1111111111,1294548.888888889
2,556144.4444444445,-1091564.4444444445,-637686.6666666666
2,-1099084.4444444445,-1081933.333333333,397640.0
2,-1244537.7777777778,525593.3333333333,358637.7777777778
2,715644.4444444444,604064.4444444444,-687613.3333333333
2,-1384831.1111111112,404262.2222222222,-493246.6666666666
2,-1104177.7777777778,-1100528.888888889,1556017.7777777775
2,681160.0,578995.5555555556,476366.6666666666
2,632111.1111111111,-1047746.6666666665,-156800.0
2,588895.5555555555,-1163646.6666666665,-480477.7777777778
2,-1183995.5555555555,442375.5555555556,301400.0
2,760048.8888888889,555466.6666666665,-87660.0
2,634133.3333333333,-1187640.0,-11182.222222222224
2,523333.33333333326,-1060700.0,-676095.5555555555
2,566964.4444444445,-1000257.7777777778,-714802.2222222222
2,567457.7777777778,-1121131.111111111,-640711.1111111111
2,701337.7777777778,509422.2222222222,-848977.7777777778
2,689048.8888888889,491913.3333333334,-632620.0
2,756448.8888888889,504360.0,-493706.6666666666
2,-1347762.2222222225,392406.6666666666,-509468.8888888889
2,554904.4444444444,-1146782.2222222222,-477357.7777777778
2,-996560.0,-1044422.2222222222,211435.55555555556
2,-1222055.5555555555,463373.3333333334,519275.55555555556
2,-994633.3333333335,-944148.8888888889,74882.22222222222
2,663942.2222222222,465440.0,-847202.2222222222
2,634142.2222222222,-1160757.7777777778,454666.6666666666
2,755693.3333333333,517042.2222222222,120597.77777777778
2,691764.4444444444,568546.6666666665,284797.77777777775
2,636111.1111111111,509422.2222222222,-804573.3333333333
2,-1032302.2222222222,-1105406.6666666667,336320.0
2,777871.1111111111,509684.4444444445,-461977.7777777778
2,-1237160.0,367511.1111111111,-716895.5555555556
2,716311.1111111111,471620.0,-659380.0
2,-1311860.0,462033.33333333326,21880.0
2,-1232351.1111111112,-960848.8888888889,549255.5555555556
2,-1202573.3333333333,466973.3333333334,613240.0
2,729006.6666666665,562451.1111111111,437384.44444444444
2,651740.0,465440.0,-807168.8888888889
2,-1199022.2222222222,554733.3333333333,153020.0
2,720060.0,540200.0,127791.1111111111
2,689344.4444444444,502486.66666666657,-1015320.0
2,758302.2222222222,490551.1111111111,-434473.33333333326
2,719346.6666666667,550666.6666666667,-456564.44444444444
2,679355.5555555555,465440.0,-848977.7777777778
2,491275.55555555556,-1188617.7777777778,-724786.6666666667
2,-1012695.5555555555,-938373.3333333335,-19717.77777777778
2,598913.3333333333,-1159900.0,-166044.44444444444
2,701782.2222222222,498980.0,-674000.0
2,671340.0,519708.8888888889,203300.0
2,766653.3333333333,515806.6666666666,-167722.2222222222
2,733548.8888888889,550968.8888888889,-348451.1111111111
2,620444.4444444444,-1229993.3333333333,249735.55555555556
2,730533.3333333333,509068.8888888889,138000.0
2,-1341726.666666667,-990955.5555555555,675275.5555555556
2,642813.3333333333,475366.6666666666,-804077.7777777778
2,743617.7777777778,553415.5555555555,-390006.6666666666
2,679340.0,542168.8888888889,474975.55555555556
2,-1184177.7777777778,501153.33333333326,308635.55555555556
2,-714000.0,448128.8888888889,1958648.888888889
2,642231.1111111111,-1200426.6666666667,-323877.7777777778
2,640371.1111111111,-1139680.0,-350213.3333333334
2,-1162273.3333333335,467060.0,573951.1111111111
2,-1312908.8888888888,448000.0,-98022.22222222222
2,746275.5555555556,501380.0,-460933.33333333326
2,735568.8888888889,573291.1111111111,342042.2222222222
2,666782.2222222222,581300.0,338831.1111111111
2,685200.0,464946.6666666666,-679953.3333333333
2,713222.2222222222,505813.33333333326,73197.77777777778
2,700995.5555555556,520317.77777777775,-659851.1111111111
2,768573.3333333333,565320.0,-251071.1111111111
2,726613.3333333333,518384.4444444444,280382.22222222225
2,730700.0,494951.1111111111,-358233.3333333334
2,-1191951.111111111,485464.4444444444,133906.6666666667
