,dataset,n_observations,approach,parameter,parameter_value,avg_time,time_0,time_1,time_2,agreement_kendall_0,agreement_kendall_1,agreement_kendall_2,agreement_jaccard2_0,agreement_jaccard2_1,agreement_jaccard2_2,agreement_euclidean_0,agreement_euclidean_1,agreement_euclidean_2,fidelity_0,fidelity_1,fidelity_2
12,ATP,86,rank,sample_size,60.0,19.677545070648193,19.680907011032104,19.719117879867554,19.632610321044922,0.9627906976744186,0.9736434108527132,0.9589147286821705,0.9767441860465116,0.9689922480620156,0.9534883720930233,0.9884409890161503,0.9880861586816803,0.9886897487991589,0.3359140826873382,0.28688307493539983,0.29198643410852704
13,ATP,86,rank,sample_size,68.0,22.1172677675883,22.181345224380493,22.0535409450531,22.1169171333313,0.9868217054263567,0.9666666666666666,0.9798449612403103,0.9922480620155039,0.9767441860465116,0.9767441860465116,0.9908714833289215,0.99056503724703,0.9913500910189289,0.2680888052895567,0.2635573415412676,0.25332877336981263
14,ATP,86,rank,sample_size,77.0,24.763907035191853,24.75933575630188,24.78458046913147,24.747804880142212,0.9852713178294574,0.9736434108527133,0.9844961240310078,1.0,0.9767441860465116,0.9689922480620154,0.9942881993443198,0.9940640231677834,0.9940460025522906,0.19932296385784767,0.18899124131682274,0.1741190979563073
15,ATP,86,rank,sample_size,86.0,27.450753609339397,27.454949855804443,27.376019716262817,27.521291255950928,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.06733369388858762,0.06733369388858762,0.06733369388858762
16,ATP,86,rank,n_jobs,1.0,27.406342029571533,27.360703945159912,27.51446795463562,27.343854188919067,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.06733369388858762,0.06733369388858762,0.06733369388858762
17,ATP,86,rank,n_jobs,3.0,10.967216730117798,12.022032022476196,10.484301805496216,10.395316362380981,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.06733369388858762,0.06733369388858762,0.06733369388858762
18,ATP,86,rank,n_jobs,5.0,6.498421827952067,7.125956058502197,6.175575017929077,6.193734407424927,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.06733369388858762,0.06733369388858762,0.06733369388858762
19,ATP,86,rank,n_jobs,7.0,4.550025224685669,4.643814325332642,4.53406023979187,4.472201108932495,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.06733369388858762,0.06733369388858762,0.06733369388858762
20,ATP,86,rank,n_jobs,9.0,3.811540365219116,4.5145180225372314,3.4759573936462402,3.444145679473877,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.06733369388858762,0.06733369388858762,0.06733369388858762
21,ATP,86,rank,n_jobs,11.0,2.919142007827759,3.130573272705078,2.8200197219848633,2.806833028793335,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.06733369388858762,0.06733369388858762,0.06733369388858762
22,ATP,86,rank,n_jobs,13.0,2.61600669225057,2.713611364364624,2.560716152191162,2.573692560195923,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.06733369388858762,0.06733369388858762,0.06733369388858762
23,ATP,86,rank,n_jobs,15.0,2.3987158934275308,2.5205700397491455,2.3463566303253174,2.32922101020813,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.06733369388858762,0.06733369388858762,0.06733369388858762
24,ATP,86,rank,n_jobs,17.0,2.428122599919637,2.511523723602295,2.4086434841156006,2.3642005920410156,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.06733369388858762,0.06733369388858762,0.06733369388858762
25,ATP,86,rank,n_jobs,19.0,2.3741629918416343,2.4472692012786865,2.316354274749756,2.35886549949646,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.06733369388858762,0.06733369388858762,0.06733369388858762
26,ATP,86,rank,n_jobs,21.0,2.371523062388102,2.4641308784484863,2.348477602005005,2.3019607067108154,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.06733369388858762,0.06733369388858762,0.06733369388858762
27,ATP,86,rank,n_jobs,23.0,2.366215785344442,2.4442028999328613,2.3531713485717773,2.3012731075286865,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.06733369388858762,0.06733369388858762,0.06733369388858762
28,ATP,86,rank,n_jobs,25.0,2.313725233078003,2.383925199508667,2.273385524749756,2.283864974975586,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.06733369388858762,0.06733369388858762,0.06733369388858762
29,ATP,86,rank,n_jobs,27.0,2.3062296708424888,2.397951364517212,2.260634660720825,2.2601029872894287,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.06733369388858762,0.06733369388858762,0.06733369388858762
