Institution,Count AI,Count Systems,Count Theory,Count Interdisciplinary
CUNY,7.416432208055908,7.123189155289104,1.8065817295701487,3.7341403123059393
Emory University,7.313420276498972,7.237216911857601,1.6772323091216583,3.7375671824593932
Georgetown University,7.225483190477644,7.221654114164279,1.6109966221381498,3.83311649124166
NJIT,9.201036401029427,6.194010449611801,2.2325581137247204,3.7273840839722263
Tufts University,7.618877446328689,7.1853023254044075,1.9262341250664856,3.488973793301387
University of Arizona,9.369960327806941,6.178765824706928,2.1250202624953385,3.753275987850727
University of Oregon,9.209959503280437,6.188855784829607,2.211472150936376,3.7395391028879708
Colorado School of Mines,7.312320194917278,7.14607734144617,1.6012730287267292,4.075626103377106
Illinois Institute of Technology,7.150049264183062,7.118499371800084,1.5980503960436174,4.014000929944576
Syracuse University,6.937216538995045,7.1168757973605405,1.5943093213070754,4.183490043606857
Temple University,7.119755900155416,7.109997846927427,1.5385469976000516,4.0907171863985425
Tulane University,7.214719240804791,7.22117121397662,1.5942307117147578,3.8516743316930975
University of Georgia,7.3019941337451,7.053576246859341,1.514699036754026,4.225714682836485
University of Houston,7.319164242311076,7.12326809448743,1.5739053470113988,4.082844161992649
University of Nebraska,7.290190998694281,7.051893409062272,1.5720560371383152,4.229223305992121
University of Tennessee,8.069380438180008,6.908149693345209,1.3439642267410128,4.207931752537495
Washington State University,7.116877602030029,7.141719058966798,1.5308361751262414,4.04878793634494
Brigham Young University,9.613325998063415,6.826436557984558,1.4157189261385483,3.885970926673557
George Washington University,7.922636772327465,6.943788974704704,1.1345812314844648,4.251999052027336
Lehigh University,9.514482590880089,6.759728884897419,1.3470703197927447,3.948342777051402
UNC - Charlotte,8.037342559365289,6.971364089344653,1.4321024234969886,4.116675030535529
University of Massachusetts Lowell,8.135775583300207,6.896031025739025,1.3023481597967956,4.2243061047604575
University of South Carolina,8.120386290160695,6.937438097239332,1.3419985222305113,4.190415187998138
Wayne State University,9.583570953813922,6.813527339040151,1.4109230449466708,3.8751064863767737
Augusta University,9.160757815194412,6.815697776265179,1.4375294149330975,4.144773452389285
Brandeis University,9.188536779873946,6.639737204132839,1.4621390720326783,4.254834791282674
Case Western Reserve University,9.235105087259969,6.749662985475702,1.4515347817542115,4.192455872701615
Drexel University,8.860348009707979,7.03060585757314,1.446437223740401,4.031292851607486
Florida International University,8.998067179388652,6.698239734305317,1.3748998213055683,4.346065689781288
Portland State University,8.896747159603684,7.029703232031841,1.4341776517508813,4.023016055883926
Rensselaer Polytechnic Institute,9.734251467030997,6.759897367402556,1.4711521431905437,3.874001974542811
Univ. of Maryland - Baltimore County,8.870220909297263,7.030391193431038,1.4408860673744839,4.032986761596938
University of Iowa,9.618723317326406,6.685897365157401,1.5598405674902354,4.0134729035632795
University of Louisiana - Lafayette,10.595290396645717,6.872676011716698,1.3788996668384714,3.83455864611103
University of New Hampshire,9.033940720281281,6.967867597690452,1.447328955754611,4.036205589053472
University of North Texas,9.504322414889153,6.756927603011996,1.5277513295170668,3.9991467465579436
Auburn University,14.264048434977363,7.828469262834854,0.9432897445317243,2.3899218845809007
Boston College,9.222045583297248,6.612105924899341,1.4073698011304079,4.361670798188165
Colorado State University,14.89215365587661,7.5064967889109875,1.162769671976217,2.4829546938824056
DePaul University,12.126255337839718,6.5639729794574055,1.3229597750585103,3.8978579961079753
Kent State University,11.494613249568841,6.704718815917435,1.332329716866236,3.8354446595121767
Michigan Technological University,11.282600662903132,6.695004779015216,1.3469072410439058,3.8793964687649023
University of Arkansas,12.3968503089184,6.552494432052638,1.2477988222564795,3.9070784006029853
University of Kansas,9.28351591713065,6.790106898674273,1.466530550936462,4.166279890447392
University of Kentucky,12.292949775521857,6.64854822809976,1.2393855145450292,3.8477024644086373
University of Memphis,12.362147763264511,6.569002711383907,1.278614688191131,3.8740455683614576
University of Nevada,12.235066169085082,6.616858976306184,1.3437845762717737,3.79488178819275
University of South Florida,12.116725217096588,6.603225999070487,1.2968517363096028,3.8353748293109766
University of Texas at San Antonio,10.647313985928253,6.8126291027433705,1.3769086267207782,3.8780303825123292
