university_name,fidelity
Jagiellonian University,-0.2606495075584405
University of Kashan,0.0
Keele University,0.0
King Fahd University of Petroleum and Minerals,0.0
King Khalid University,0.0
Lagos State University,-0.2606495075584476
Leibniz University Hannover,-0.2606495075584405
University of Limerick,0.0
University of Lincoln,0.0
University of Lisbon,0.0
Louisiana State University,0.0
Lviv Polytechnic National University,0.0
Mashhad University of Medical Sciences,0.0
Memorial University of Newfoundland,0.0
University of Messina,0.0
University of Montana,0.0
Murdoch University,0.0
National Cheng Kung University (NCKU),-0.2606495075584405
National Chiao Tung University,-0.2606495075584476
National Taiwan University of Science and Technology (Taiwan Tech),-0.2606495075584405
University of Nebraska Medical Center,-0.2606495075584405
New Jersey Institute of Technology,0.0
Northern Arizona University,-0.2606495075584405
North-West University,-0.19464146329539744
Northwestern Polytechnical University,0.0
Universidad Peruana Cayetano Heredia,-0.19464146329540455
Polytechnic University of Turin,-0.2606495075584405
Pontifical Catholic University of Chile,-0.2606495075584405
University of Portsmouth,0.0
Quaid-i-Azam University,-0.2606495075584405
Renmin University of China,0.0
Rensselaer Polytechnic Institute,0.0
Sabancı University,-0.2606495075584476
University of Sassari,0.0
Sciences Po,0.0
SOAS University of London,0.0
Soochow University,0.0
Southeast University,-0.2606495075584405
University of Southern Queensland,0.0
Southwestern University of Finance and Economics,-0.19464146329539744
Stevens Institute of Technology,0.0
University of Strasbourg,0.0
Suez Canal University,-0.19464146329539744
Sumy State University,-0.19464146329539744
University of Tehran,0.0
Tehran University of Medical Sciences,0.0
Teikyo University,0.0
Télécom SudParis,0.0
The University of Texas at San Antonio,-0.2606495075584476
Tomsk State University,0.0
University of Trieste,-0.2606495075584405
Universiti Tunku Abdul Rahman (UTAR),0.0
University of Tuscia,-0.2606495075584476
University of Urbino Carlo Bo,-0.19464146329539744
Victoria University of Wellington,0.0
University of Waikato,0.0
The University of the West Indies,-0.2606495075584405
University of the West of Scotland,0.0
Xiamen University,0.0
Zhejiang Normal University,-0.2606495075584405
Åbo Akademi University,0.0
The University of Aizu,0.0
Ajou University,0.0
University of Alabama,0.0
University of Alabama in Huntsville,-0.2606495075584405
Al-Balqa Applied University,-0.19464146329539922
Amedeo Avogadro University of Eastern Piedmont,-0.2606495075584405
University of Antofagasta,-0.2606495075584405
Aristotle University of Thessaloniki,-0.2606495075584476
University of Arkansas,0.0
Athens University of Economics and Business,-0.26064950755844407
Auburn University,-0.2606495075584405
University of Aveiro,0.0
University of the Balearic Islands,-0.2606495075584405
Banaras Hindu University,0.0
University of Beira Interior,0.0
University of Belgrade,0.0
University of Bergamo,0.0
Bilkent University,0.0
Birmingham City University,0.0
Boğaziçi University,0.0
Université Bourgogne Franche-Comté (UBFC),0.0
University of Bradford,0.0
University of Brighton,0.0
Bucharest University of Economic Studies,0.0
Ca’ Foscari University of Venice,-0.2606495075584405
Cairo University,0.0
University of Calabria,-0.2606495075584476
University of Central Florida,0.0
Chapman University,0.0
Institute of Chemical Technology,0.0
China Agricultural University,0.0
China University of Petroleum Beijing,0.0
Chongqing University,0.0
Chulalongkorn University,-0.2606495075584405
Chung-Ang University,-0.2606495075584405
Clemson University,0.0
University of Clermont Auvergne,0.0
University of Coimbra,0.0
COMSATS University Islamabad,-0.2606495075584405
Concordia University,0.0
Coventry University,0.0
Creighton University,0.0
Dalian University of Technology,0.0
University of Delhi,0.0
De Montfort University,0.0
University of Deusto,-0.26064950755844407
École des Mines de Saint-Étienne,0.0
École normale supérieure Paris-Saclay,-0.2606495075584405
Edinburgh Napier University,0.0
Eötvös Loránd University,-0.2606495075584405
European University of Madrid,0.0
Ewha Womans University,-0.2606495075584405
Federal University of Minas Gerais,0.0
Federal University of Rio Grande do Sul,0.0
Federal University of Santa Catarina,0.0
Federal University of São Paulo (UNIFESP),0.0
Federal University of Sergipe (UFS),0.0
Gabriele d‘Annunzio University,-0.2606495075584405
University of Girona,-0.2606495075584405
Glasgow Caledonian University,0.0
University of Granada,-0.2606495075584405
University of Graz,0.0
University of Greenwich,0.0
Guangdong University of Technology,0.0
University of Haifa,0.0
Hamburg University of Technology,-0.2606495075584405
Huazhong Agricultural University,0.0
University of Huddersfield,0.0
University of Idaho,-0.2606495075584405
IDC Herzliya,0.0
Indian Institute of Science Education and Research Pune,0.0
Indian Institute of Science Education and Research Kolkata,0.0
Indian Institute of Technology Gandhinagar,0.0
Indian Institute of Technology Hyderabad,0.0
Indraprastha Institute of Information Technology Delhi,0.0
Universitat Internacional de Catalunya,0.0
University of International Business and Economics,0.0
University of Ioannina,-0.2606495075584405
ISCTE-University Institute of Lisbon,-0.26064950755844407
Isfahan University of Technology,0.0
Jamia Millia Islamia,0.0
Jaume I University,-0.26064950755844407
Jawaharlal Nehru University,0.0
Jiangsu Normal University,0.0
Jikei University School of Medicine,0.0
Jinan University,0.0
University of Johannesburg,0.0
