,pct_1st_serve,matches_1st_serve,standing_player2,standing_player_1st_serve,pct_1st_serve_pw,points_won_1st_serve_pw,total_points_1st_serve_pw,matches_1st_serve_pw,standing_player_1st_serve_pw,pct_1st_serve_rpw,points_won_1st_serve_rpw,total_points_1st_serve_rpw,matches_1st_serve_rpw,standing_player_1st_serve_rpw,pct_2nd_serve_pw,points_won_2nd_serve_pw,total_points_2nd_serve_pw,matches_2nd_serve_pw,standing_player_2nd_serve_pw,pct_2nd_serve_rpw,points_won_2nd_serve_rpw,total_points_2nd_serve_rpw,matches_2nd_serve_rpw,standing_player_2nd_serve_rpw,number_aces,matches_aces,standing_player_aces,pct_break_points_converted,points_won_break_points_converted,total_points_break_points_converted,matches_break_points_converted,standing_player_break_points_converted,pct_break_point_won,points_won_break_point_won,total_points_break_point_won,matches_break_point_won,standing_player_break_point_won,return_standing_player_return,return_rating_return,pct_1st_serve_return_points_won_return,pct_2nd_serve_return_points_won_return,pct_return_games_won_return,pct_break_points_converted_return,pct_return_games_won,games_won_return_games_won,total_games_return_games_won,matches_return_games_won,standing_player_return_games_won,serve_standing_player_serve,serve_rating_serve,pct_1st_serve_serve,pct_1st_serve_points_won_serve,pct_2nd_serve_points_won_serve,pct_service_games_won_serve,avg_aces_match_serve,avg_double_faultsmatch_serve,pct_services_games_won,games_won_services_games_won,total_games_services_games_won,matches_services_games_won,standing_player_services_games_won,under_pressure_standing_player_underpressure,under_pressure_rating_underpressure,pct_break_points_converted_underpressure,pct_break_points_saved_underpressure,pct_tie_breaks_won_underpressure,pct_deciding_sets_won_underpressure
28,0.6291,48.0,Grigor Dimitrov,29.0,0.7501,1645.0,2193.0,48.0,13.0,0.3002,715.0,2382.0,48.0,28.0,0.4962,649.0,1308.0,48.0,34.0,0.4962,649.0,1308.0,48.0,34.0,267,48,36,0.3889,126.0,324.0,48.0,35.0,0.6047,153.0,253.0,48.0,33.0,48.0,140.7,0.3,0.496,0.222,0.389,0.2218,126.0,568.0,48.0,32.0,31.0,274.3,0.629,0.75,0.513,0.824,5.6,2.9,0.8239,468.0,568.0,48.0,19.0,40.0,206.4,0.389,0.605,0.455,0.615
29,0.6285,55.0,Sebastian Korda,30.0,0.7039,1983.0,2817.0,55.0,32.0,0.3247,902.0,2778.0,55.0,6.0,0.5021,842.0,1677.0,55.0,27.0,0.5021,842.0,1677.0,55.0,27.0,325,55,25,0.4172,179.0,429.0,55.0,12.0,0.624,229.0,367.0,55.0,23.0,16.0,150.9,0.325,0.502,0.265,0.417,0.2648,179.0,676.0,55.0,10.0,43.0,267.1,0.629,0.704,0.504,0.799,5.9,2.4,0.7991,549.0,687.0,55.0,27.0,45.0,203.5,0.417,0.624,0.52,0.474
30,0.6198,55.0,Daniel Evans,31.0,0.7167,1799.0,2510.0,55.0,24.0,0.3015,785.0,2604.0,55.0,26.0,0.5103,820.0,1607.0,55.0,18.0,0.5103,820.0,1607.0,55.0,18.0,237,55,43,0.4164,157.0,377.0,55.0,13.0,0.5959,202.0,339.0,55.0,36.0,25.0,146.9,0.301,0.51,0.242,0.416,0.2419,157.0,649.0,55.0,21.0,47.0,265.6,0.62,0.717,0.514,0.786,4.3,2.4,0.7863,504.0,641.0,55.0,32.0,47.0,201.2,0.416,0.596,0.5,0.5
31,0.6191,62.0,Taylor Fritz,32.0,0.7625,2510.0,3292.0,62.0,12.0,0.2994,1061.0,3544.0,62.0,30.0,0.5229,1062.0,2031.0,62.0,12.0,0.5229,1062.0,2031.0,62.0,12.0,642,62,7,0.3805,207.0,544.0,62.0,41.0,0.6197,220.0,355.0,62.0,26.0,32.0,144.8,0.299,0.523,0.245,0.381,0.245,207.0,845.0,62.0,18.0,14.0,283.1,0.619,0.762,0.526,0.842,10.4,2.2,0.8423,721.0,856.0,62.0,14.0,26.0,215.6,0.381,0.62,0.561,0.594
32,0.6191,62.0,Tommy Paul,33.0,0.7099,2205.0,3106.0,62.0,29.0,0.3128,1003.0,3207.0,62.0,15.0,0.4959,902.0,1819.0,62.0,35.0,0.4959,902.0,1819.0,62.0,35.0,250,62,40,0.3925,188.0,479.0,62.0,31.0,0.6165,254.0,412.0,62.0,29.0,35.0,144.4,0.313,0.496,0.243,0.392,0.2426,188.0,775.0,62.0,20.0,48.0,265.5,0.619,0.71,0.514,0.797,4.0,2.5,0.7974,622.0,780.0,62.0,28.0,38.0,207.5,0.392,0.617,0.483,0.583
33,0.617,57.0,Denis Shapovalov,34.0,0.766,2301.0,3004.0,57.0,8.0,0.2755,879.0,3190.0,57.0,39.0,0.4774,876.0,1835.0,57.0,40.0,0.4774,876.0,1835.0,57.0,40.0,496,57,14,0.3593,143.0,398.0,57.0,45.0,0.6506,216.0,332.0,57.0,9.0,72.0,129.5,0.276,0.477,0.183,0.359,0.1829,143.0,782.0,57.0,44.0,21.0,279.2,0.617,0.766,0.528,0.851,8.7,5.7,0.8513,664.0,780.0,57.0,10.0,42.0,206.0,0.359,0.651,0.528,0.522
34,0.6167,71.0,Andrey Rublev,35.0,0.7651,2590.0,3385.0,71.0,9.0,0.2988,1074.0,3594.0,71.0,32.0,0.5145,1168.0,2270.0,71.0,15.0,0.5145,1168.0,2270.0,71.0,15.0,558,71,12,0.3943,209.0,530.0,71.0,28.0,0.6361,236.0,371.0,71.0,14.0,36.0,144.3,0.299,0.515,0.235,0.394,0.2354,209.0,888.0,71.0,25.0,20.0,280.1,0.617,0.765,0.513,0.848,7.9,2.1,0.848,753.0,888.0,71.0,11.0,9.0,238.0,0.394,0.636,0.6,0.75
35,0.6165,53.0,Maxime Cressy,36.0,0.7827,2179.0,2784.0,53.0,4.0,0.2429,685.0,2820.0,53.0,47.0,0.4196,681.0,1623.0,53.0,47.0,0.4196,681.0,1623.0,53.0,47.0,768,53,4,0.3992,95.0,238.0,53.0,24.0,0.6653,161.0,242.0,53.0,5.0,79.0,119.4,0.243,0.42,0.132,0.399,0.1321,95.0,719.0,53.0,47.0,8.0,289.3,0.616,0.783,0.544,0.888,14.5,8.3,0.8877,640.0,721.0,53.0,3.0,58.0,191.4,0.399,0.665,0.4,0.45
36,0.6117,44.0,Laslo Djere,37.0,0.7275,1655.0,2275.0,44.0,20.0,0.2669,573.0,2147.0,44.0,45.0,0.4692,655.0,1396.0,44.0,43.0,0.4692,655.0,1396.0,44.0,43.0,274,44,33,0.4014,114.0,284.0,44.0,23.0,0.6319,182.0,288.0,44.0,16.0,63.0,134.0,0.267,0.469,0.203,0.401,0.2028,114.0,562.0,44.0,36.0,46.0,266.4,0.612,0.727,0.491,0.81,6.2,3.8,0.81,452.0,558.0,44.0,25.0,77.0,171.2,0.401,0.632,0.241,0.438
37,0.6084,46.0,Marcos Giron,38.0,0.7038,1497.0,2127.0,46.0,33.0,0.2688,583.0,2169.0,46.0,44.0,0.4602,618.0,1343.0,46.0,44.0,0.4602,618.0,1343.0,46.0,44.0,232,46,44,0.3952,98.0,248.0,46.0,27.0,0.5604,167.0,298.0,46.0,46.0,71.0,129.7,0.269,0.46,0.173,0.395,0.1728,98.0,567.0,46.0,46.0,57.0,262.7,0.608,0.704,0.514,0.766,5.0,1.5,0.7661,429.0,560.0,46.0,38.0,64.0,187.0,0.395,0.56,0.526,0.389
38,0.6029,52.0,Adrian Mannarino,39.0,0.7083,1666.0,2352.0,52.0,30.0,0.2746,700.0,2549.0,52.0,41.0,0.5086,800.0,1573.0,52.0,19.0,0.5086,800.0,1573.0,52.0,19.0,280,52,31,0.3504,123.0,351.0,52.0,47.0,0.5955,187.0,314.0,52.0,37.0,65.0,133.0,0.275,0.509,0.196,0.35,0.1962,123.0,627.0,52.0,40.0,41.0,268.2,0.603,0.708,0.544,0.795,5.4,2.2,0.7952,493.0,620.0,52.0,29.0,54.0,194.6,0.35,0.596,0.5,0.5
39,0.5993,44.0,Andy Murray,40.0,0.7418,1560.0,2103.0,44.0,17.0,0.2855,652.0,2284.0,44.0,37.0,0.5472,724.0,1323.0,44.0,3.0,0.5472,724.0,1323.0,44.0,3.0,290,44,29,0.3934,131.0,333.0,44.0,30.0,0.5746,154.0,268.0,44.0,45.0,27.0,146.1,0.285,0.547,0.236,0.393,0.2365,131.0,554.0,44.0,23.0,44.0,266.8,0.599,0.742,0.494,0.794,6.6,2.7,0.7942,440.0,554.0,44.0,30.0,32.0,211.9,0.393,0.575,0.526,0.625
