,pct_1st_serve,matches_1st_serve,standing_player2,standing_player_1st_serve,pct_1st_serve_pw,points_won_1st_serve_pw,total_points_1st_serve_pw,matches_1st_serve_pw,standing_player_1st_serve_pw,pct_1st_serve_rpw,points_won_1st_serve_rpw,total_points_1st_serve_rpw,matches_1st_serve_rpw,standing_player_1st_serve_rpw,pct_2nd_serve_pw,points_won_2nd_serve_pw,total_points_2nd_serve_pw,matches_2nd_serve_pw,standing_player_2nd_serve_pw,pct_2nd_serve_rpw,points_won_2nd_serve_rpw,total_points_2nd_serve_rpw,matches_2nd_serve_rpw,standing_player_2nd_serve_rpw,number_aces,matches_aces,standing_player_aces,pct_break_points_converted,points_won_break_points_converted,total_points_break_points_converted,matches_break_points_converted,standing_player_break_points_converted,pct_break_point_won,points_won_break_point_won,total_points_break_point_won,matches_break_point_won,standing_player_break_point_won,return_standing_player_return,return_rating_return,pct_1st_serve_return_points_won_return,pct_2nd_serve_return_points_won_return,pct_return_games_won_return,pct_break_points_converted_return,pct_return_games_won,games_won_return_games_won,total_games_return_games_won,matches_return_games_won,standing_player_return_games_won,serve_standing_player_serve,serve_rating_serve,pct_1st_serve_serve,pct_1st_serve_points_won_serve,pct_2nd_serve_points_won_serve,pct_service_games_won_serve,avg_aces_match_serve,avg_double_faultsmatch_serve,pct_services_games_won,games_won_services_games_won,total_games_services_games_won,matches_services_games_won,standing_player_services_games_won,under_pressure_standing_player_underpressure,under_pressure_rating_underpressure,pct_break_points_converted_underpressure,pct_break_points_saved_underpressure,pct_tie_breaks_won_underpressure,pct_deciding_sets_won_underpressure
10,,,Stefanos Tsitsipas,,,,,,,,,,,,,,,,,,,,,,302.0,41.0,10.0,,,,,,,,,,,30.0,139.9,0.293,0.499,0.216,0.391,,,,,,4.0,292.2,0.65,0.763,0.572,0.884,7.4,2.1,,,,,,32.0,195.3,0.391,0.642,0.52,0.4
11,,,Alexander Bublik,,,,,,,,,,,,,,,,,,,,,,273.0,28.0,12.0,,,,,,,,,,,45.0,120.3,0.284,0.447,0.16,0.312,,,,,,33.0,260.3,0.571,0.758,0.445,0.784,9.9,5.4,,,,,,18.0,215.9,0.312,0.633,0.5,0.714
12,,,Vasek Pospisil,,,,,,,,,,,,,,,,,,,,,,266.0,26.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,,Jan-Lennard Struff,,,,,,,,,,,,,,,,,,,,,,252.0,28.0,14.0,,,,,,,,,,,29.0,140.4,0.289,0.511,0.227,0.377,,,,,,23.0,266.2,0.559,0.756,0.488,0.798,9.0,2.9,,,,,,42.0,168.7,0.377,0.602,0.333,0.375
14,,,Kevin Anderson,,,,,,,,,,,,,,,,,,,,,,251.0,20.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,,Tennys Sandgren,,,,,,,,,,,,,,,,,,,,,,245.0,21.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,,Ugo Humbert,,,,,,,,,,,,,,,,,,,,,,244.0,36.0,17.0,,,,,,,,,,,39.0,132.0,0.288,0.481,0.2,0.351,,,,,,14.0,276.9,0.62,0.751,0.519,0.839,6.8,2.8,,,,,,8.0,233.4,0.351,0.683,0.7,0.6
17,,,Dominic Thiem,,,,,,,,,,,,,,,,,,,,,,244.0,34.0,18.0,,,,,,,,,,,14.0,151.0,0.325,0.503,0.261,0.421,,,,,,13.0,277.7,0.634,0.743,0.514,0.844,7.2,3.0,,,,,,12.0,226.8,0.421,0.657,0.607,0.583
18,,,Feliciano Lopez,,,,,,,,,,,,,,,,,,,,,,241.0,17.0,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,,,Marin Cilic,,,,,,,,,,,,,,,,,,,,,,240.0,24.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,,Karen Khachanov,,,,,,,,,,,,,,,,,,,,,,236.0,35.0,21.0,,,,,,,,,,,16.0,149.5,0.283,0.533,0.229,0.45,,,,,,17.0,272.0,0.641,0.723,0.509,0.806,6.7,2.6,,,,,,25.0,205.4,0.45,0.604,0.6,0.4
21,,,Benoit Paire,,,,,,,,,,,,,,,,,,,,,,236.0,23.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,,Hubert Hurkacz,,,,,,,,,,,,,,,,,,,,,,232.0,28.0,23.0,,,,,,,,,,,28.0,142.1,0.283,0.506,0.221,0.411,,,,,,25.0,264.1,0.599,0.738,0.463,0.792,8.7,3.8,,,,,,29.0,201.8,0.411,0.607,0.5,0.5
23,,,Stan Wawrinka,,,,,,,,,,,,,,,,,,,,,,225.0,23.0,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,,,Lloyd Harris,,,,,,,,,,,,,,,,,,,,,,221.0,22.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,,,Aljaz Bedene,,,,,,,,,,,,,,,,,,,,,,207.0,22.0,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,,,Egor Gerasimov,,,,,,,,,,,,,,,,,,,,,,203.0,21.0,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,,,Jiri Vesely,,,,,,,,,,,,,,,,,,,,,,180.0,16.0,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,,,Borna Coric,,,,,,,,,,,,,,,,,,,,,,179.0,28.0,29.0,,,,,,,,,,,24.0,143.5,0.268,0.51,0.225,0.432,,,,,,21.0,270.1,0.634,0.723,0.497,0.803,6.4,2.0,,,,,,7.0,236.0,0.432,0.624,0.471,0.833
29,,,Nick Kyrgios,,,,,,,,,,,,,,,,,,,,,,176.0,9.0,30.0,,,,,,,,,,,38.0,133.8,0.197,0.509,0.132,0.5,,,,,,1.0,312.0,0.715,0.781,0.531,0.925,19.6,2.8,,,,,,3.0,280.5,0.5,0.722,0.583,1.0
30,,,Pablo Carreno Busta,,,,,,,,,,,,,,,,,,,,,,157.0,32.0,31.0,,,,,,,,,,,27.0,143.2,0.283,0.523,0.252,0.374,,,,,,18.0,271.6,0.677,0.697,0.514,0.795,4.9,1.6,,,,,,19.0,215.2,0.374,0.622,0.6,0.556
31,,,Adrian Mannarino,,,,,,,,,,,,,,,,,,,,,,157.0,31.0,32.0,,,,,,,,,,,22.0,144.4,0.301,0.508,0.235,0.4,,,,,,37.0,257.1,0.579,0.708,0.499,0.763,5.1,2.9,,,,,,35.0,192.3,0.4,0.605,0.533,0.385
32,,,Rafael Nadal,,,,,,,,,,,,,,,,,,,,,,157.0,34.0,33.0,,,,,,,,,,,2.0,175.6,0.351,0.568,0.344,0.493,,,,,,5.0,286.6,0.64,0.747,0.578,0.874,4.6,1.9,,,,,,4.0,246.8,0.493,0.675,0.5,0.8
33,,,Matteo Berrettini,,,,,,,,,,,,,,,,,,,,,,152.0,15.0,34.0,,,,,,,,,,,44.0,125.9,0.281,0.482,0.183,0.313,,,,,,3.0,297.9,0.615,0.806,0.571,0.909,10.1,2.3,,,,,,40.0,169.5,0.313,0.677,0.455,0.25
34,,,Pierre-Hugues Herbert,,,,,,,,,,,,,,,,,,,,,,151.0,20.0,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,,,Sam Querrey,,,,,,,,,,,,,,,,,,,,,,151.0,9.0,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,,,Gael Monfils,,,,,,,,,,,,,,,,,,,,,,148.0,23.0,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,,,Miomir Kecmanovic,,,,,,,,,,,,,,,,,,,,,,147.0,29.0,38.0,,,,,,,,,,,32.0,138.5,0.281,0.49,0.213,0.401,,,,,,38.0,255.9,0.591,0.698,0.493,0.752,4.8,2.3,,,,,,5.0,239.1,0.401,0.619,0.571,0.8
38,,,Cristian Garin,,,,,,,,,,,,,,,,,,,,,,142.0,30.0,39.0,,,,,,,,,,,17.0,149.3,0.31,0.519,0.261,0.403,,,,,,40.0,254.6,0.614,0.701,0.478,0.749,4.7,4.3,,,,,,13.0,225.1,0.403,0.556,0.6,0.692
39,,,Casper Ruud,,,,,,,,,,,,,,,,,,,,,,140.0,34.0,40.0,,,,,,,,,,,35.0,137.1,0.29,0.499,0.23,0.352,,,,,,11.0,279.1,0.671,0.707,0.549,0.841,4.1,1.8,,,,,,33.0,193.4,0.352,0.638,0.308,0.636
40,,,Tommy Paul,,,,,,,,,,,,,,,,,,,,,,138.0,27.0,41.0,,,,,,,,,,,23.0,144.2,0.275,0.513,0.231,0.423,,,,,,28.0,261.3,0.593,0.693,0.525,0.772,5.1,2.1,,,,,,36.0,189.2,0.423,0.59,0.462,0.417
41,,,John Millman,,,,,,,,,,,,,,,,,,,,,,133.0,29.0,42.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,,,Grigor Dimitrov,,,,,,,,,,,,,,,,,,,,,,131.0,29.0,43.0,,,,,,,,,,,8.0,159.1,0.326,0.532,0.286,0.447,,,,,,31.0,261.2,0.622,0.703,0.496,0.792,4.5,4.6,,,,,,30.0,198.9,0.447,0.657,0.5,0.385
43,,,David Goffin,,,,,,,,,,,,,,,,,,,,,,130.0,23.0,44.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,,,Daniel Evans,,,,,,,,,,,,,,,,,,,,,,129.0,33.0,45.0,,,,,,,,,,,18.0,148.6,0.312,0.507,0.251,0.416,,,,,,30.0,261.2,0.601,0.699,0.515,0.78,3.9,2.2,,,,,,21.0,214.1,0.416,0.592,0.533,0.6
45,,,Lorenzo Sonego,,,,,,,,,,,,,,,,,,,,,,127.0,26.0,46.0,,,,,,,,,,,40.0,130.2,0.278,0.462,0.181,0.381,,,,,,20.0,270.5,0.642,0.726,0.494,0.814,4.9,2.0,,,,,,28.0,202.3,0.381,0.642,0.5,0.5
46,,,Pablo Cuevas,,,,,,,,,,,,,,,,,,,,,,122.0,20.0,47.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,,,Filip Krajinovic,,,,,,,,,,,,,,,,,,,,,,120.0,28.0,48.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,,,Cameron Norrie,,,,,,,,,,,,,,,,,,,,,,120.0,22.0,49.0,,,,,,,,,,,26.0,143.3,0.302,0.487,0.233,0.411,,,,,,39.0,255.4,0.653,0.664,0.498,0.728,5.5,4.4,,,,,,39.0,171.2,0.411,0.602,0.143,0.556
49,,,Dusan Lajovic,,,,,,,,,,,,,,,,,,,,,,119.0,30.0,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,,,Jordan Thompson,,,,,,,,,,,,,,,,,,,,,,115.0,22.0,51.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,,,Steve Johnson,,,,,,,,,,,,,,,,,,,,,,114.0,14.0,52.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,,,Kyle Edmund,,,,,,,,,,,,,,,,,,,,,,108.0,19.0,53.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,,,Thiago Monteiro,,,,,,,,,,,,,,,,,,,,,,104.0,16.0,54.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,,,Stefano Travaglia,,,,,,,,,,,,,,,,,,,,,,103.0,16.0,55.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,,,Jannik Sinner,,,,,,,,,,,,,,,,,,,,,,102.0,30.0,56.0,,,,,,,,,,,7.0,160.1,0.337,0.522,0.286,0.456,,,,,,26.0,264.0,0.617,0.71,0.499,0.805,3.4,2.5,,,,,,24.0,205.7,0.456,0.657,0.5,0.444
56,,,Laslo Djere,,,,,,,,,,,,,,,,,,,,,,99.0,22.0,57.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,,,Marco Cecchinato,,,,,,,,,,,,,,,,,,,,,,98.0,21.0,58.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,,,Marcos Giron,,,,,,,,,,,,,,,,,,,,,,98.0,18.0,59.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,,,Gilles Simon,,,,,,,,,,,,,,,,,,,,,,98.0,23.0,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,,,Roberto Bautista Agut,,,,,,,,,,,,,,,,,,,,,,97.0,28.0,61.0,,,,,,,,,,,5.0,166.8,0.331,0.581,0.335,0.421,,,,,,16.0,272.7,0.671,0.681,0.561,0.798,3.5,1.9,,,,,,17.0,221.9,0.421,0.631,0.667,0.5
61,,,Salvatore Caruso,,,,,,,,,,,,,,,,,,,,,,95.0,20.0,62.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,,,Marton Fucsovics,,,,,,,,,,,,,,,,,,,,,,94.0,23.0,63.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,,,Frances Tiafoe,,,,,,,,,,,,,,,,,,,,,,92.0,20.0,64.0,,,,,,,,,,,37.0,135.1,0.284,0.483,0.198,0.386,,,,,,29.0,261.3,0.626,0.694,0.496,0.772,4.6,2.1,,,,,,37.0,183.9,0.386,0.62,0.583,0.25
64,,,Richard Gasquet,,,,,,,,,,,,,,,,,,,,,,91.0,20.0,65.0,,,,,,,,,,,36.0,135.1,0.262,0.469,0.208,0.412,,,,,,32.0,261.0,0.598,0.717,0.513,0.761,4.6,2.5,,,,,,27.0,202.4,0.412,0.612,0.667,0.333
65,,,James Duckworth,,,,,,,,,,,,,,,,,,,,,,89.0,12.0,66.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,,,Gregoire Barrere,,,,,,,,,,,,,,,,,,,,,,86.0,12.0,67.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,,,Emil Ruusuvuori,,,,,,,,,,,,,,,,,,,,,,85.0,15.0,68.0,,,,,,,,,,,25.0,143.4,0.3,0.534,0.228,0.372,,,,,,27.0,262.8,0.641,0.719,0.495,0.762,5.6,4.5,,,,,,11.0,228.9,0.372,0.517,0.6,0.8
68,,,Federico Delbonis,,,,,,,,,,,,,,,,,,,,,,82.0,21.0,69.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,,,Fernando Verdasco,,,,,,,,,,,,,,,,,,,,,,82.0,13.0,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,,,Alex de Minaur,,,,,,,,,,,,,,,,,,,,,,80.0,23.0,71.0,,,,,,,,,,,13.0,152.0,0.316,0.527,0.248,0.429,,,,,,35.0,258.5,0.615,0.697,0.494,0.771,3.5,2.7,,,,,,34.0,193.0,0.429,0.617,0.429,0.455
71,,,Dennis Novak,,,,,,,,,,,,,,,,,,,,,,80.0,16.0,72.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,,,Guido Pella,,,,,,,,,,,,,,,,,,,,,,78.0,17.0,73.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,,,Fabio Fognini,,,,,,,,,,,,,,,,,,,,,,76.0,15.0,74.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,,,Soonwoo Kwon,,,,,,,,,,,,,,,,,,,,,,76.0,15.0,75.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,,,Gianluca Mager,,,,,,,,,,,,,,,,,,,,,,75.0,11.0,76.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,,,Norbert Gombos,,,,,,,,,,,,,,,,,,,,,,74.0,15.0,77.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,,,Nikoloz Basilashvili,,,,,,,,,,,,,,,,,,,,,,73.0,16.0,78.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,,,Ivo Karlovic,,,,,,,,,,,,,,,,,,,,,,67.0,5.0,79.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,,,Andreas Seppi,,,,,,,,,,,,,,,,,,,,,,67.0,14.0,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,,,Roger Federer,,,,,,,,,,,,,,,,,,,,,,66.0,6.0,81.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,,,Ricardas Berankis,,,,,,,,,,,,,,,,,,,,,,62.0,14.0,82.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,,,Mackenzie McDonald,,,,,,,,,,,,,,,,,,,,,,61.0,12.0,83.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,,,Alexei Popyrin,,,,,,,,,,,,,,,,,,,,,,57.0,7.0,84.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,,,Jeremy Chardy,,,,,,,,,,,,,,,,,,,,,,56.0,7.0,85.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,,,Marc-Andrea Huesler,,,,,,,,,,,,,,,,,,,,,,56.0,6.0,86.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,,,Yoshihito Nishioka,,,,,,,,,,,,,,,,,,,,,,56.0,26.0,87.0,,,,,,,,,,,21.0,146.0,0.304,0.529,0.255,0.372,,,,,,22.0,266.6,0.676,0.647,0.562,0.773,2.2,1.4,,,,,,23.0,209.9,0.372,0.627,0.5,0.6
87,,,Diego Schwartzman,,,,,,,,,,,,,,,,,,,,,,56.0,40.0,88.0,,,,,,,,,,,3.0,173.7,0.344,0.574,0.349,0.47,,,,,,42.0,248.9,0.63,0.648,0.505,0.721,1.4,2.9,,,,,,6.0,238.1,0.47,0.582,0.714,0.615
88,,,Juan Ignacio Londero,,,,,,,,,,,,,,,,,,,,,,52.0,17.0,89.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,,,Albert Ramos-Vinolas,,,,,,,,,,,,,,,,,,,,,,52.0,23.0,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,,,Thiago Seyboth Wild,,,,,,,,,,,,,,,,,,,,,,50.0,8.0,91.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,,,Ernests Gulbis,,,,,,,,,,,,,,,,,,,,,,49.0,4.0,92.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,,,Mikhail Kukushkin,,,,,,,,,,,,,,,,,,,,,,49.0,15.0,93.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,,,Alex Bolt,,,,,,,,,,,,,,,,,,,,,,48.0,6.0,94.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,,,Dominik Koepfer,,,,,,,,,,,,,,,,,,,,,,48.0,12.0,95.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,,,Yasutaka Uchiyama,,,,,,,,,,,,,,,,,,,,,,48.0,7.0,96.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,,,Quentin Halys,,,,,,,,,,,,,,,,,,,,,,47.0,2.0,97.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,,,Ilya Ivashka,,,,,,,,,,,,,,,,,,,,,,47.0,7.0,98.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,,,Maxime Cressy,,,,,,,,,,,,,,,,,,,,,,44.0,2.0,99.0,,,,,,,,,,,31.0,139.4,0.228,0.514,0.152,0.5,,,,,,10.0,281.0,0.57,0.754,0.543,0.848,22.0,12.5,,,,,,45.0,118.8,0.5,0.688,0.0,0.0
99,,,Mikael Ymer,,,,,,,,,,,,,,,,,,,,,,43.0,11.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,,,Corentin Moutet,,,,,,,,,,,,,,,,,,,,,,41.0,20.0,101.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,,,Michael Mmoh,,,,,,,,,,,,,,,,,,,,,,40.0,6.0,102.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,,,Jack Sock,,,,,,,,,,,,,,,,,,,,,,39.0,7.0,103.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,,,Joao Sousa,,,,,,,,,,,,,,,,,,,,,,39.0,9.0,104.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,,,Taro Daniel,,,,,,,,,,,,,,,,,,,,,,38.0,5.0,105.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,,,Alejandro Davidovich Fokina,,,,,,,,,,,,,,,,,,,,,,38.0,23.0,106.0,,,,,,,,,,,11.0,155.1,0.336,0.515,0.288,0.412,,,,,,43.0,246.8,0.661,0.636,0.485,0.699,1.7,3.0,,,,,,20.0,214.9,0.412,0.581,0.556,0.6
106,,,Peter Gojowczyk,,,,,,,,,,,,,,,,,,,,,,37.0,4.0,107.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,,,Leonardo Mayer,,,,,,,,,,,,,,,,,,,,,,37.0,7.0,108.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,,,Pedro Martinez,,,,,,,,,,,,,,,,,,,,,,36.0,17.0,109.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,,,Marc Polmans,,,,,,,,,,,,,,,,,,,,,,36.0,6.0,110.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,,,J.J. Wolf,,,,,,,,,,,,,,,,,,,,,,36.0,5.0,111.0,,,,,,,,,,,15.0,150.7,0.317,0.436,0.254,0.5,,,,,,45.0,242.4,0.546,0.712,0.443,0.705,7.2,5.4,,,,,,46.0,97.1,0.5,0.471,0.0,0.0
111,,,Ernesto Escobedo,,,,,,,,,,,,,,,,,,,,,,35.0,2.0,112.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
