,Serve Standing Player,Serve Standing Player2,Serve Rating,% 1st Serve,% 1st Serve Points Won,% 2nd Serve Points Won,% Service Games Won,Avg. Aces/ Match,Avg. Double Faults/Match,My score,My Rank,Label,Score,Score bucket,Feature,Contribution,Rank Bucket
72,11,Felix Auger-Aliassime,"286,1","0,647","0,771","0,504","0,863",11,"3,4",286.1,11,Felix Auger-Aliassime,286.1,286.1,% 1st Serve Points Won,9.766666666666666,"10-
20%"
73,11,Felix Auger-Aliassime,"286,1","0,647","0,771","0,504","0,863",11,"3,4",286.1,11,Felix Auger-Aliassime,286.1,286.1,% 2nd Serve Points Won,-1.4374999999999996,"10-
20%"
74,11,Felix Auger-Aliassime,"286,1","0,647","0,771","0,504","0,863",11,"3,4",286.1,11,Felix Auger-Aliassime,286.1,286.1,% Service Games Won,12.097916666666665,"10-
20%"
75,11,Felix Auger-Aliassime,"286,1","0,647","0,771","0,504","0,863",11,"3,4",286.1,11,Felix Auger-Aliassime,286.1,286.1,Avg. Aces/ Match,7.7354166666666675,"10-
20%"
76,11,Felix Auger-Aliassime,"286,1","0,647","0,771","0,504","0,863",11,"3,4",286.1,11,Felix Auger-Aliassime,286.1,286.1,Avg. Double Faults/Match,-1.0958333333333328,"10-
20%"
77,12,Casper Ruud,"284,1","0,653","0,748","0,549","0,853","5,9","2,1",284.09999999999997,12,Casper Ruud,284.1,284.1,Serve Rating,0.0,"10-
20%"
78,12,Casper Ruud,"284,1","0,653","0,748","0,549","0,853","5,9","2,1",284.09999999999997,12,Casper Ruud,284.1,284.1,% 1st Serve,1.1479166666666654,"10-
20%"
79,12,Casper Ruud,"284,1","0,653","0,748","0,549","0,853","5,9","2,1",284.09999999999997,12,Casper Ruud,284.1,284.1,% 1st Serve Points Won,6.508333333333333,"10-
20%"
80,12,Casper Ruud,"284,1","0,653","0,748","0,549","0,853","5,9","2,1",284.09999999999997,12,Casper Ruud,284.1,284.1,% 2nd Serve Points Won,6.185416666666665,"10-
20%"
81,12,Casper Ruud,"284,1","0,653","0,748","0,549","0,853","5,9","2,1",284.09999999999997,12,Casper Ruud,284.1,284.1,% Service Games Won,11.045833333333327,"10-
20%"
82,12,Casper Ruud,"284,1","0,653","0,748","0,549","0,853","5,9","2,1",284.09999999999997,12,Casper Ruud,284.1,284.1,Avg. Aces/ Match,-0.3729166666666667,"10-
20%"
83,12,Casper Ruud,"284,1","0,653","0,748","0,549","0,853","5,9","2,1",284.09999999999997,12,Casper Ruud,284.1,284.1,Avg. Double Faults/Match,1.360416666666665,"10-
20%"
84,14,Taylor Fritz,"283,1","0,619","0,762","0,526","0,842","10,4","2,2",283.1,13,Taylor Fritz,283.1,283.1,Serve Rating,0.0,"10-
20%"
85,14,Taylor Fritz,"283,1","0,619","0,762","0,526","0,842","10,4","2,2",283.1,13,Taylor Fritz,283.1,283.1,% 1st Serve,-4.012499999999998,"10-
20%"
86,14,Taylor Fritz,"283,1","0,619","0,762","0,526","0,842","10,4","2,2",283.1,13,Taylor Fritz,283.1,283.1,% 1st Serve Points Won,8.560416666666665,"10-
20%"
87,14,Taylor Fritz,"283,1","0,619","0,762","0,526","0,842","10,4","2,2",283.1,13,Taylor Fritz,283.1,283.1,% 2nd Serve Points Won,3.249999999999998,"10-
20%"
88,14,Taylor Fritz,"283,1","0,619","0,762","0,526","0,842","10,4","2,2",283.1,13,Taylor Fritz,283.1,283.1,% Service Games Won,8.760416666666664,"10-
20%"
89,14,Taylor Fritz,"283,1","0,619","0,762","0,526","0,842","10,4","2,2",283.1,13,Taylor Fritz,283.1,283.1,Avg. Aces/ Match,6.808333333333332,"10-
20%"
90,14,Taylor Fritz,"283,1","0,619","0,762","0,526","0,842","10,4","2,2",283.1,13,Taylor Fritz,283.1,283.1,Avg. Double Faults/Match,1.6333333333333326,"10-
20%"
91,13,Daniil Medvedev,"283,1","0,64","0,765","0,51","0,864","9,2",4,283.09999999999997,14,Daniil Medvedev,283.1,283.1,Serve Rating,0.0,"10-
20%"
92,13,Daniil Medvedev,"283,1","0,64","0,765","0,51","0,864","9,2",4,283.09999999999997,14,Daniil Medvedev,283.1,283.1,% 1st Serve,-0.739583333333333,"10-
20%"
93,13,Daniil Medvedev,"283,1","0,64","0,765","0,51","0,864","9,2",4,283.09999999999997,14,Daniil Medvedev,283.1,283.1,% 1st Serve Points Won,8.841666666666667,"10-
20%"
