number_aces,matches_aces,standing_player2,standing_player_aces
31,5,Dennis Novak,158
30,2,Enzo Couacaud,159
29,22,Pablo Andujar,160
29,9,Juan Ignacio Londero,161
28,14,Chun-Hsin Tseng,162
27,7,Francesco Passaro,163
27,16,Carlos Taberner,164
26,5,Pierre-Hugues Herbert,165
25,11,Marco Cecchinato,166
25,4,Viktor Durasovic,167
25,4,Maximilian Marterer,168
24,5,Gregoire Barrere,169
24,3,Ramkumar Ramanathan,170
23,4,Matteo Arnaldi,171
22,14,Hugo Dellien,172
22,2,Cedrik-Marcel Stebe,173
21,3,Yibing Wu,174
20,3,Alex Bolt,175
19,3,Geoffrey Blancaneaux,176
19,12,Stefan Kozlov,177
19,6,Filip Misolic,178
18,3,Jay Clarke,179
18,4,Kaichi Uchida,180
17,3,Nicolas Alvarez Varona,181
17,5,Gijs Brouwer,182
17,6,Damir Dzumhur,183
17,4,Rinky Hijikata,184
17,4,Philipp Kohlschreiber,185
16,2,Marco Trungelliti,186
15,3,Zizou Bergs,187
15,4,Malek Jaziri,188
15,3,Zdenek Kolar,189
15,6,Pavel Kotov,190
15,8,Mikhail Kukushkin,191
15,2,Alexandar Lazarov,192
15,4,Michael Mmoh,193
15,5,Luca Nardi,194
13,4,Alexander Ritschard,195
12,3,Mirza Basic,196
12,2,Altug Celikbilek,197
12,2,Jesper de Jong,198
12,1,Lukas Klein,199
12,3,Sebastian Ofner,200
