serve_standing_player_serve,standing_player2,serve_rating_serve,pct_1st_serve_serve,pct_1st_serve_points_won_serve,pct_2nd_serve_points_won_serve,pct_service_games_won_serve,avg_aces_match_serve,avg_double_faultsmatch_serve
38,Tomas Martin Etcheverry,267.6,0.72,0.679,0.476,0.778,3.3,1.0
39,Andy Murray,267.5,0.579,0.727,0.508,0.809,7.9,2.7
40,Gael Monfils,266.0,0.609,0.739,0.471,0.797,9.4,5.0
41,J.J. Wolf,266.0,0.56,0.747,0.532,0.778,8.0,3.7
42,Aslan Karatsev,266.0,0.596,0.721,0.53,0.803,4.7,3.7
43,Daniel Evans,264.3,0.622,0.698,0.523,0.787,3.9,2.6
44,Sebastian Baez,263.9,0.784,0.646,0.492,0.717,0.6,0.6
45,Marco Cecchinato,263.8,0.671,0.683,0.503,0.764,4.3,2.6
46,Filip Krajinovic,263.0,0.624,0.694,0.508,0.778,4.9,2.3
47,Aljaz Bedene,263.0,0.542,0.754,0.493,0.795,8.2,3.6
48,Marcos Giron,262.7,0.597,0.722,0.489,0.786,5.5,2.2
49,Gianluca Mager,262.3,0.59,0.716,0.501,0.784,6.3,3.1
50,Jordan Thompson,262.0,0.581,0.722,0.499,0.764,7.4,2.0
51,Carlos Alcaraz,261.6,0.628,0.681,0.536,0.762,3.1,2.2
52,Tommy Paul,261.5,0.605,0.698,0.517,0.778,4.1,2.4
53,Marton Fucsovics,261.2,0.592,0.709,0.52,0.786,4.4,3.9
54,Dusan Lajovic,260.9,0.677,0.655,0.515,0.748,3.4,2.0
55,Cristian Garin,260.5,0.616,0.686,0.512,0.768,4.9,2.6
56,Soonwoo Kwon,260.2,0.604,0.699,0.514,0.771,5.2,3.8
57,Jan-Lennard Struff,260.2,0.558,0.743,0.473,0.775,9.3,4.0
58,Albert Ramos-Vinolas,259.8,0.627,0.681,0.521,0.763,2.9,2.3
59,Lorenzo Musetti,259.4,0.67,0.669,0.49,0.756,2.9,2.0
60,Alex de Minaur,258.4,0.603,0.686,0.524,0.76,3.0,1.9
61,Jeremy Chardy,258.4,0.628,0.689,0.493,0.755,6.0,4.1
62,Richard Gasquet,257.0,0.585,0.694,0.521,0.766,3.4,3.0
63,Kei Nishikori,256.9,0.644,0.643,0.545,0.733,2.3,1.9
64,Laslo Djere,256.6,0.59,0.698,0.507,0.76,5.1,4.0
65,Emil Ruusuvuori,256.6,0.649,0.687,0.483,0.741,4.3,3.7
66,Pedro Martinez,256.6,0.648,0.663,0.505,0.752,2.8,3.0
67,Diego Schwartzman,255.6,0.636,0.676,0.502,0.755,1.5,2.8
68,Miomir Kecmanovic,255.5,0.612,0.669,0.523,0.733,4.2,2.4
69,Alejandro Davidovich Fokina,254.4,0.677,0.662,0.482,0.73,2.3,3.0
70,Ricardas Berankis,253.7,0.61,0.689,0.491,0.748,2.8,2.9
71,John Millman,253.5,0.621,0.676,0.497,0.729,2.7,1.5
72,Dominik Koepfer,252.6,0.616,0.671,0.5,0.737,4.5,4.3
73,Jaume Munar,252.2,0.676,0.667,0.458,0.727,3.0,3.6
74,Adrian Mannarino,252.2,0.576,0.7,0.489,0.745,3.9,2.7
75,Egor Gerasimov,252.1,0.641,0.692,0.434,0.733,6.3,4.2
76,Holger Rune,250.1,0.604,0.683,0.497,0.716,3.4,3.3
77,Federico Delbonis,250.0,0.632,0.668,0.48,0.723,3.0,3.3
78,Nikoloz Basilashvili,249.9,0.567,0.687,0.5,0.739,4.1,3.5
79,Francisco Cerundolo,247.6,0.678,0.632,0.471,0.706,1.8,2.9
80,Bernabe Zapata Miralles,247.0,0.643,0.625,0.517,0.678,2.9,2.2
81,Fabio Fognini,246.4,0.592,0.678,0.481,0.726,2.9,4.2
82,Yoshihito Nishioka,246.1,0.665,0.633,0.489,0.676,1.6,1.8
83,Stefano Travaglia,245.7,0.566,0.697,0.455,0.712,5.9,3.2
84,Federico Coria,244.4,0.642,0.625,0.503,0.678,2.5,2.9
85,Mikael Ymer,242.0,0.68,0.63,0.449,0.675,2.0,3.4
86,Benoit Paire,236.2,0.533,0.734,0.4,0.688,8.6,7.9
