number_aces,matches_aces,standing_player2,standing_player_aces
22,2,Kimmer Coppejans,175
22,3,Enzo Couacaud,176
21,4,Christian Harrison,177
20,10,Pedro Sousa,178
19,4,Alexandre Muller,179
18,3,Nino Serdarusic,180
18,3,Zachary Svajda,181
17,5,Altug Celikbilek,182
17,2,Marc-Andrea Huesler,183
17,7,Thiago Seyboth Wild,184
17,5,Cedrik-Marcel Stebe,185
16,5,Jason Jung,186
16,2,Emilio Nava,187
16,2,Bernard Tomic,188
15,5,Emilio Gomez,189
15,8,Yen-Hsun Lu,190
15,3,Brayden Schnur,191
14,3,Alessandro Giannessi,192
14,6,Lukas Klein,193
13,6,Hugo Dellien,194
13,2,Cem Ilkel,195
13,2,Mats Moraing,196
13,3,Roberto Quiroz,197
13,2,Zhizhen Zhang,198
12,3,Tomas Barrios Vera,199
12,3,Zizou Bergs,200
