number_aces,matches_aces,standing_player2,standing_player_aces
121,19,Brandon Nakashima,65
121,21,Roman Safiullin,66
118,19,Daniel Altmaier,67
114,36,Alex de Minaur,68
113,38,Alejandro Davidovich Fokina,69
110,45,Francisco Cerundolo,70
100,18,Daniel Elahi Galan,71
97,21,Juan Pablo Varillas,72
96,19,Andy Murray,73
95,17,Zhizhen Zhang,74
93,23,Yibing Wu,75
92,20,Dominic Thiem,76
91,14,Michael Mmoh,77
90,25,Cristian Garin,78
89,24,Daniel Evans,79
89,16,Arthur Fils,80
86,7,Borna Gojo,81
84,20,David Goffin,82
83,22,Ilya Ivashka,83
82,20,Marco Cecchinato,84
81,25,Albert Ramos-Vinolas,85
78,32,Roberto Carballes Baena,86
74,10,Soonwoo Kwon,87
73,28,Dusan Lajovic,88
73,7,Feliciano Lopez,89
73,4,Milos Raonic,90
72,10,Aleksandar Vukic,91
68,15,Filip Krajinovic,92
68,8,Max Purcell,93
67,24,Alex Molcan,94
66,12,Gijs Brouwer,95
65,18,Constant Lestienne,96
64,7,Maximilian Marterer,97
62,24,Mikael Ymer,98
58,14,Corentin Moutet,99
57,16,Taro Daniel,100
56,33,Sebastian Baez,101
55,32,Bernabe Zapata Miralles,102
54,18,Guido Pella,103
52,14,Pavel Kotov,104
51,25,Jaume Munar,105
50,3,Jiri Vesely,106
49,6,Aleksandar Kovacevic,107
49,9,Andrea Vavassori,108
48,16,Fabio Fognini,109
48,8,Tomas Machac,110
48,23,Yoshihito Nishioka,111
47,4,Pablo Carreno Busta,112
46,16,Nuno Borges,113
46,14,Alexandre Muller,114
45,7,Facundo Bagnis,115
44,6,Alejandro Tabilo,116
43,11,Matteo Arnaldi,117
43,15,Federico Coria,118
43,4,Benoit Paire,119
39,9,Rinky Hijikata,120
37,3,Tim van Rijthoven,121
36,6,Zizou Bergs,122
36,11,Alexander Shevchenko,123
36,6,Jack Sock,124
35,9,Emilio Gomez,125
34,15,Radu Albot,126
34,6,Nikoloz Basilashvili,127
34,8,Denis Kudla,128
33,4,Steve Johnson,129
33,6,Sebastian Ofner,130
30,8,Elias Ymer,131
29,9,Juan Manuel Cerundolo,132
29,26,Diego Schwartzman,133
29,3,Dominic Stricker,134
28,7,Flavio Cobolli,135
28,4,Brandon Holt,136
28,3,Laurent Lokoli,137
28,2,Harold Mayot,138
27,3,Enzo Couacaud,139
27,6,Hugo Grenier,140
26,14,Hugo Dellien,141
26,7,Kyle Edmund,142
26,8,Hugo Gaston,143
26,3,Hamad Medjedovic,144
26,2,Giovanni Mpetshi Perricard,145
25,7,Jenson Brooksby,146
24,4,Rafael Nadal,147
24,4,Emilio Nava,148
24,4,Alexander Ritschard,149
22,4,Giulio Zeppieri,150
21,4,Jurij Rodionov,151
21,10,Joao Sousa,152
21,13,Luca Van Assche,153
20,9,Liam Broady,154
20,16,Pedro Martinez,155
20,3,Thiago Seyboth Wild,156
20,5,Abdullah Shelbayh,157
19,2,Robin Haase,158
18,6,Tomas Barrios Vera,159
18,1,Gabriel Diallo,160
18,6,Francesco Passaro,161
17,4,Jan Choinski,162
17,2,Viktor Durasovic,163
17,4,John Millman,164
16,1,Marin Cilic,165
16,3,Oleksii Krutykh,166
15,5,Jeremy Chardy,167
15,1,Nick Kyrgios,168
15,5,Gael Monfils,169
14,1,Vasek Pospisil,170
14,3,Stefanos Sakellaridis,171
13,5,Fabian Marozsan,172
12,3,Luciano Darderi,173
12,2,Ivan Gakhov,174
12,2,Matija Pecotic,175
12,3,Leandro Riedi,176
11,3,Facundo Diaz Acosta,177
11,1,Ernesto Escobedo,178
11,1,Ramkumar Ramanathan,179
10,2,Geoffrey Blancaneaux,180
10,3,Felipe Meligeni Alves,181
10,1,Stefano Napolitano,182
9,1,Mattia Bellucci,183
9,2,George Loffhagen,184
9,4,Chun-Hsin Tseng,185
8,3,Genaro Alberto Olivieri,186
8,1,Kiranpal Pannu,187
8,1,Li Tu,188
7,1,Alex Michelsen,189
7,5,Luca Nardi,190
7,1,Alex Rybakov,191
7,3,Timofey Skatov,192
7,2,Thiago Agustin Tirante,193
6,1,Antoine Bellier,194
6,1,Liam Krall,195
6,1,Martin Landaluce,196
6,4,Ryan Peniston,197
6,2,Daniel Rincon,198
6,4,Juncheng Shang,199
6,1,Zachary Svajda,200
