under_pressure_standing_player_underpressure,standing_player2,under_pressure_rating_underpressure,pct_break_points_converted_underpressure,pct_break_points_saved_underpressure,pct_tie_breaks_won_underpressure,pct_deciding_sets_won_underpressure
37,Grigor Dimitrov,207.1,0.411,0.627,0.333,0.7
38,Felix Auger-Aliassime,206.9,0.372,0.567,0.542,0.588
39,Dominik Koepfer,206.7,0.401,0.595,0.471,0.6
40,Marco Cecchinato,206.6,0.38,0.575,0.778,0.333
41,Emil Ruusuvuori,206.3,0.39,0.572,0.538,0.563
42,Aslan Karatsev,205.8,0.394,0.617,0.4,0.647
43,Hubert Hurkacz,205.7,0.355,0.636,0.645,0.421
44,Alexander Bublik,205.6,0.39,0.661,0.455,0.55
45,Pedro Martinez,204.9,0.427,0.604,0.462,0.556
46,Frances Tiafoe,204.6,0.39,0.642,0.514,0.5
47,Karen Khachanov,204.4,0.387,0.657,0.6,0.4
48,Fabio Fognini,204.2,0.408,0.584,0.65,0.4
49,Daniel Evans,203.1,0.423,0.661,0.476,0.471
50,Denis Shapovalov,202.4,0.392,0.694,0.5,0.438
51,Andy Murray,201.9,0.396,0.623,0.333,0.667
52,Marton Fucsovics,201.2,0.418,0.609,0.414,0.571
53,James Duckworth,201.1,0.394,0.662,0.5,0.455
54,Lloyd Harris,200.7,0.393,0.623,0.391,0.6
55,Lorenzo Sonego,199.2,0.383,0.614,0.524,0.471
56,Alex de Minaur,197.2,0.41,0.6,0.5,0.462
57,Reilly Opelka,196.8,0.363,0.662,0.579,0.364
58,Federico Delbonis,192.6,0.409,0.589,0.313,0.615
59,Mikael Ymer,191.3,0.408,0.538,0.3,0.667
60,Egor Gerasimov,190.2,0.371,0.622,0.353,0.556
61,Richard Gasquet,190.0,0.344,0.556,0.5,0.5
62,Bernabe Zapata Miralles,189.8,0.378,0.591,0.429,0.5
63,Francisco Cerundolo,189.4,0.389,0.638,0.2,0.667
64,Soonwoo Kwon,188.6,0.371,0.544,0.471,0.5
65,Ricardas Berankis,187.3,0.352,0.621,0.7,0.2
66,Roberto Bautista Agut,186.9,0.432,0.587,0.429,0.421
67,Mackenzie McDonald,185.0,0.354,0.625,0.571,0.3
68,Albert Ramos-Vinolas,185.0,0.407,0.573,0.35,0.52
69,Jan-Lennard Struff,184.3,0.329,0.586,0.56,0.368
70,J.J. Wolf,181.8,0.235,0.583,1.0,0.0
71,Arthur Rinderknech,181.0,0.417,0.643,0.25,0.5
72,Laslo Djere,180.4,0.367,0.6,0.313,0.524
73,Gianluca Mager,179.4,0.398,0.642,0.421,0.333
74,Borna Coric,178.7,0.353,0.634,0.8,0.0
75,Miomir Kecmanovic,178.1,0.374,0.601,0.556,0.25
76,Gael Monfils,178.1,0.369,0.61,0.438,0.364
77,Nicolas Jarry,177.3,0.273,0.5,0.5,0.5
78,Cristian Garin,176.4,0.416,0.64,0.4,0.308
79,Filip Krajinovic,173.9,0.403,0.628,0.333,0.375
80,Stefano Travaglia,170.7,0.386,0.554,0.267,0.5
81,Benoit Paire,169.4,0.374,0.595,0.417,0.308
82,Jaume Munar,163.0,0.355,0.612,0.563,0.1
83,Dusan Lajovic,159.5,0.371,0.587,0.364,0.273
84,Holger Rune,152.9,0.417,0.529,0.333,0.25
85,Tomas Martin Etcheverry,138.3,0.304,0.579,0.5,0.0
86,Sebastian Baez,133.7,0.243,0.594,0.5,0.0
