,Label,Score,Score bucket,Feature,Contribution
203,Roberto Bautista Agut,274.6,274.6,Serve Rating,0.0
204,Roberto Bautista Agut,274.6,274.6,% 1st Serve,-0.35624999999999984
205,Roberto Bautista Agut,274.6,274.6,% 1st Serve Points Won,1.0041666666666667
206,Roberto Bautista Agut,274.6,274.6,% 2nd Serve Points Won,5.070833333333331
207,Roberto Bautista Agut,274.6,274.6,% Service Games Won,5.74375
208,Roberto Bautista Agut,274.6,274.6,Avg. Aces/ Match,-6.033333333333331
209,Roberto Bautista Agut,274.6,274.6,Avg. Double Faults/Match,2.320833333333332
210,Grigor Dimitrov,274.3,274.3,Serve Rating,0.0
211,Grigor Dimitrov,274.3,274.3,% 1st Serve,-5.9
212,Grigor Dimitrov,274.3,274.3,% 1st Serve Points Won,7.285416666666667
213,Grigor Dimitrov,274.3,274.3,% 2nd Serve Points Won,1.152083333333333
214,Grigor Dimitrov,274.3,274.3,% Service Games Won,5.397916666666665
215,Grigor Dimitrov,274.3,274.3,Avg. Aces/ Match,-1.6312499999999999
216,Grigor Dimitrov,274.3,274.3,Avg. Double Faults/Match,0.445833333333333
217,Benjamin Bonzi,273.59999999999997,273.6,Serve Rating,0.0
218,Benjamin Bonzi,273.59999999999997,273.6,% 1st Serve,-10.412499999999998
219,Benjamin Bonzi,273.59999999999997,273.6,% 1st Serve Points Won,5.18125
220,Benjamin Bonzi,273.59999999999997,273.6,% 2nd Serve Points Won,3.8374999999999995
221,Benjamin Bonzi,273.59999999999997,273.6,% Service Games Won,6.985416666666666
222,Benjamin Bonzi,273.59999999999997,273.6,Avg. Aces/ Match,-0.9541666666666663
223,Benjamin Bonzi,273.59999999999997,273.6,Avg. Double Faults/Match,1.112499999999999
224,Holger Rune,273.3,273.3,Serve Rating,0.0
225,Holger Rune,273.3,273.3,% 1st Serve,-3.9437499999999988
226,Holger Rune,273.3,273.3,% 1st Serve Points Won,2.03125
227,Holger Rune,273.3,273.3,% 2nd Serve Points Won,3.935416666666665
228,Holger Rune,273.3,273.3,% Service Games Won,7.054166666666665
229,Holger Rune,273.3,273.3,Avg. Aces/ Match,-3.616666666666665
230,Holger Rune,273.3,273.3,Avg. Double Faults/Match,-0.7104166666666663
231,Jannik Sinner,272.40000000000003,272.4,Serve Rating,0.0
232,Jannik Sinner,272.40000000000003,272.4,% 1st Serve,-13.54583333333334
233,Jannik Sinner,272.40000000000003,272.4,% 1st Serve Points Won,6.412499999999999
234,Jannik Sinner,272.40000000000003,272.4,% 2nd Serve Points Won,4.014583333333332
235,Jannik Sinner,272.40000000000003,272.4,% Service Games Won,6.970833333333333
236,Jannik Sinner,272.40000000000003,272.4,Avg. Aces/ Match,-0.5458333333333334
237,Jannik Sinner,272.40000000000003,272.4,Avg. Double Faults/Match,0.4437499999999997
238,Jan-Lennard Struff,271.9,271.9,Serve Rating,0.0
239,Jan-Lennard Struff,271.9,271.9,% 1st Serve,-15.245833333333337
240,Jan-Lennard Struff,271.9,271.9,% 1st Serve Points Won,8.008333333333335
241,Jan-Lennard Struff,271.9,271.9,% 2nd Serve Points Won,1.5020833333333325
242,Jan-Lennard Struff,271.9,271.9,% Service Games Won,3.7208333333333323
243,Jan-Lennard Struff,271.9,271.9,Avg. Aces/ Match,5.914583333333333
244,Jan-Lennard Struff,271.9,271.9,Avg. Double Faults/Match,-1.1499999999999995
245,Cameron Norrie,271.20000000000005,271.2,Serve Rating,0.0
246,Cameron Norrie,271.20000000000005,271.2,% 1st Serve,-1.5687499999999996
247,Cameron Norrie,271.20000000000005,271.2,% 1st Serve Points Won,0.9749999999999999
248,Cameron Norrie,271.20000000000005,271.2,% 2nd Serve Points Won,0.6833333333333335
249,Cameron Norrie,271.20000000000005,271.2,% Service Games Won,3.3124999999999982
250,Cameron Norrie,271.20000000000005,271.2,Avg. Aces/ Match,-3.4583333333333317
251,Cameron Norrie,271.20000000000005,271.2,Avg. Double Faults/Match,1.8062499999999995
252,Frances Tiafoe,270.29999999999995,270.3,Serve Rating,0.0
253,Frances Tiafoe,270.29999999999995,270.3,% 1st Serve,-14.789583333333335
254,Frances Tiafoe,270.29999999999995,270.3,% 1st Serve Points Won,5.222916666666665
255,Frances Tiafoe,270.29999999999995,270.3,% 2nd Serve Points Won,2.0124999999999997
256,Frances Tiafoe,270.29999999999995,270.3,% Service Games Won,3.8479166666666664
257,Frances Tiafoe,270.29999999999995,270.3,Avg. Aces/ Match,3.204166666666666
258,Frances Tiafoe,270.29999999999995,270.3,Avg. Double Faults/Match,1.2520833333333317
259,Tallon Griekspoor,270.0,270.0,Serve Rating,0.0
260,Tallon Griekspoor,270.0,270.0,% 1st Serve,-6.868750000000001
261,Tallon Griekspoor,270.0,270.0,% 1st Serve Points Won,2.7979166666666666
262,Tallon Griekspoor,270.0,270.0,% 2nd Serve Points Won,0.7999999999999995
263,Tallon Griekspoor,270.0,270.0,% Service Games Won,2.2854166666666664
264,Tallon Griekspoor,270.0,270.0,Avg. Aces/ Match,0.8312499999999999
265,Tallon Griekspoor,270.0,270.0,Avg. Double Faults/Match,-0.09583333333333334
266,Miomir Kecmanovic,268.7,268.7,Serve Rating,0.0
267,Miomir Kecmanovic,268.7,268.7,% 1st Serve,-5.5562499999999995
268,Miomir Kecmanovic,268.7,268.7,% 1st Serve Points Won,-2.7270833333333337
269,Miomir Kecmanovic,268.7,268.7,% 2nd Serve Points Won,8.697916666666668
270,Miomir Kecmanovic,268.7,268.7,% Service Games Won,0.3437500000000002
271,Miomir Kecmanovic,268.7,268.7,Avg. Aces/ Match,-4.964583333333329
272,Miomir Kecmanovic,268.7,268.7,Avg. Double Faults/Match,2.956249999999998
273,Alexander Bublik,268.7,268.7,Serve Rating,0.0
274,Alexander Bublik,268.7,268.7,% 1st Serve,-11.266666666666662
275,Alexander Bublik,268.7,268.7,% 1st Serve Points Won,13.287499999999994
276,Alexander Bublik,268.7,268.7,% 2nd Serve Points Won,-11.599999999999996
277,Alexander Bublik,268.7,268.7,% Service Games Won,2.5416666666666665
278,Alexander Bublik,268.7,268.7,Avg. Aces/ Match,11.30208333333333
279,Alexander Bublik,268.7,268.7,Avg. Double Faults/Match,-5.514583333333329
280,Adrian Mannarino,268.2,268.2,Serve Rating,0.0
281,Adrian Mannarino,268.2,268.2,% 1st Serve,-10.218749999999995
282,Adrian Mannarino,268.2,268.2,% 1st Serve Points Won,0.0916666666666667
283,Adrian Mannarino,268.2,268.2,% 2nd Serve Points Won,7.104166666666667
284,Adrian Mannarino,268.2,268.2,% Service Games Won,0.40416666666666673
285,Adrian Mannarino,268.2,268.2,Avg. Aces/ Match,-2.2354166666666666
286,Adrian Mannarino,268.2,268.2,Avg. Double Faults/Match,1.6041666666666652
287,Lorenzo Musetti,267.6,267.6,Serve Rating,0.0
288,Lorenzo Musetti,267.6,267.6,% 1st Serve,-2.4791666666666647
289,Lorenzo Musetti,267.6,267.6,% 1st Serve Points Won,-2.5104166666666656
290,Lorenzo Musetti,267.6,267.6,% 2nd Serve Points Won,5.739583333333335
291,Lorenzo Musetti,267.6,267.6,% Service Games Won,-1.5145833333333332
292,Lorenzo Musetti,267.6,267.6,Avg. Aces/ Match,-5.435416666666665
293,Lorenzo Musetti,267.6,267.6,Avg. Double Faults/Match,1.9499999999999993
294,Sebastian Korda,267.1,267.1,Serve Rating,0.0
295,Sebastian Korda,267.1,267.1,% 1st Serve,-5.697916666666666
296,Sebastian Korda,267.1,267.1,% 1st Serve Points Won,-0.58125
297,Sebastian Korda,267.1,267.1,% 2nd Serve Points Won,-0.14166666666666666
298,Sebastian Korda,267.1,267.1,% Service Games Won,1.01875
299,Sebastian Korda,267.1,267.1,Avg. Aces/ Match,-1.235416666666666
300,Sebastian Korda,267.1,267.1,Avg. Double Faults/Match,1.3874999999999988
301,Andy Murray,266.8,266.8,Serve Rating,0.0
302,Andy Murray,266.8,266.8,% 1st Serve,-10.793750000000001
303,Andy Murray,266.8,266.8,% 1st Serve Points Won,6.1291666666666655
304,Andy Murray,266.8,266.8,% 2nd Serve Points Won,-2.0229166666666667
305,Andy Murray,266.8,266.8,% Service Games Won,-0.33958333333333335
306,Andy Murray,266.8,266.8,Avg. Aces/ Match,0.05416666666666668
307,Andy Murray,266.8,266.8,Avg. Double Faults/Match,0.7229166666666658
308,Oscar Otte,266.4,266.4,Serve Rating,0.0
309,Oscar Otte,266.4,266.4,% 1st Serve,-16.091666666666672
310,Oscar Otte,266.4,266.4,% 1st Serve Points Won,9.581249999999997
311,Oscar Otte,266.4,266.4,% 2nd Serve Points Won,-3.112499999999999
312,Oscar Otte,266.4,266.4,% Service Games Won,1.264583333333333
313,Oscar Otte,266.4,266.4,Avg. Aces/ Match,3.0291666666666663
314,Oscar Otte,266.4,266.4,Avg. Double Faults/Match,-1.9208333333333334
315,Laslo Djere,266.4,266.4,Serve Rating,0.0
316,Laslo Djere,266.4,266.4,% 1st Serve,-8.72291666666667
317,Laslo Djere,266.4,266.4,% 1st Serve Points Won,3.297916666666665
318,Laslo Djere,266.4,266.4,% 2nd Serve Points Won,-2.5145833333333325
319,Laslo Djere,266.4,266.4,% Service Games Won,2.5729166666666665
320,Laslo Djere,266.4,266.4,Avg. Aces/ Match,-0.6583333333333328
321,Laslo Djere,266.4,266.4,Avg. Double Faults/Match,-1.2249999999999988
322,Daniel Evans,265.6,265.6,Serve Rating,0.0
323,Daniel Evans,265.6,265.6,% 1st Serve,-7.5479166666666675
324,Daniel Evans,265.6,265.6,% 1st Serve Points Won,1.3166666666666662
325,Daniel Evans,265.6,265.6,% 2nd Serve Points Won,1.7291666666666654
326,Daniel Evans,265.6,265.6,% Service Games Won,-1.9020833333333322
327,Daniel Evans,265.6,265.6,Avg. Aces/ Match,-4.408333333333331
328,Daniel Evans,265.6,265.6,Avg. Double Faults/Match,1.5624999999999993
329,Tommy Paul,265.5,265.5,Serve Rating,0.0
330,Tommy Paul,265.5,265.5,% 1st Serve,-7.858333333333337
331,Tommy Paul,265.5,265.5,% 1st Serve Points Won,-0.07499999999999998
332,Tommy Paul,265.5,265.5,% 2nd Serve Points Won,1.5583333333333331
333,Tommy Paul,265.5,265.5,% Service Games Won,0.03333333333333337
334,Tommy Paul,265.5,265.5,Avg. Aces/ Match,-5.112499999999997
335,Tommy Paul,265.5,265.5,Avg. Double Faults/Match,1.2041666666666653
336,Emil Ruusuvuori,265.3,265.3,Serve Rating,0.0
337,Emil Ruusuvuori,265.3,265.3,% 1st Serve,0.8124999999999991
338,Emil Ruusuvuori,265.3,265.3,% 1st Serve Points Won,-2.9500000000000006
339,Emil Ruusuvuori,265.3,265.3,% 2nd Serve Points Won,0.43541666666666656
340,Emil Ruusuvuori,265.3,265.3,% Service Games Won,-3.852083333333332
341,Emil Ruusuvuori,265.3,265.3,Avg. Aces/ Match,-5.69791666666667
342,Emil Ruusuvuori,265.3,265.3,Avg. Double Faults/Match,0.002083333333333333
343,Dominic Thiem,265.1,265.1,Serve Rating,0.0
344,Dominic Thiem,265.1,265.1,% 1st Serve,-5.704166666666664
345,Dominic Thiem,265.1,265.1,% 1st Serve Points Won,-4.249999999999997
346,Dominic Thiem,265.1,265.1,% 2nd Serve Points Won,4.733333333333331
347,Dominic Thiem,265.1,265.1,% Service Games Won,-3.9937499999999995
348,Dominic Thiem,265.1,265.1,Avg. Aces/ Match,-4.664583333333331
349,Dominic Thiem,265.1,265.1,Avg. Double Faults/Match,1.629166666666666
350,Mackenzie McDonald,264.7,264.7,Serve Rating,0.0
351,Mackenzie McDonald,264.7,264.7,% 1st Serve,-2.5749999999999975
352,Mackenzie McDonald,264.7,264.7,% 1st Serve Points Won,-4.299999999999997
353,Mackenzie McDonald,264.7,264.7,% 2nd Serve Points Won,-0.3208333333333333
354,Mackenzie McDonald,264.7,264.7,% Service Games Won,-5.006249999999997
355,Mackenzie McDonald,264.7,264.7,Avg. Aces/ Match,-3.014583333333332
