,Serve Standing Player,Serve Standing Player2,Serve Rating,% 1st Serve,% 1st Serve Points Won,% 2nd Serve Points Won,% Service Games Won,Avg. Aces/ Match,Avg. Double Faults/Match,My score,My Rank,Unnamed: 0,Label,Score,Score bucket,Feature,Contribution,Rank Bucket
84,14,Taylor Fritz,"283,1","0,619","0,762","0,526","0,842","10,4","2,2",283.1,13,91,Taylor Fritz,283.1,283.1,Serve Rating,0.0,"10-
20%"
85,14,Taylor Fritz,"283,1","0,619","0,762","0,526","0,842","10,4","2,2",283.1,13,92,Taylor Fritz,283.1,283.1,% 1st Serve,-3.2000000000000006,"10-
20%"
86,14,Taylor Fritz,"283,1","0,619","0,762","0,526","0,842","10,4","2,2",283.1,13,93,Taylor Fritz,283.1,283.1,% 1st Serve Points Won,3.862500000000012,"10-
20%"
87,14,Taylor Fritz,"283,1","0,619","0,762","0,526","0,842","10,4","2,2",283.1,13,94,Taylor Fritz,283.1,283.1,% 2nd Serve Points Won,1.625000000000006,"10-
20%"
88,14,Taylor Fritz,"283,1","0,619","0,762","0,526","0,842","10,4","2,2",283.1,13,95,Taylor Fritz,283.1,283.1,% Service Games Won,3.41250000000001,"10-
20%"
89,14,Taylor Fritz,"283,1","0,619","0,762","0,526","0,842","10,4","2,2",283.1,13,96,Taylor Fritz,283.1,283.1,Avg. Aces/ Match,2.3624999999999865,"10-
20%"
90,14,Taylor Fritz,"283,1","0,619","0,762","0,526","0,842","10,4","2,2",283.1,13,97,Taylor Fritz,283.1,283.1,Avg. Double Faults/Match,0.9000000000000121,"10-
20%"
91,13,Daniil Medvedev,"283,1","0,64","0,765","0,51","0,864","9,2",4,283.09999999999997,14,84,Daniil Medvedev,283.1,283.1,Serve Rating,0.0,"10-
20%"
92,13,Daniil Medvedev,"283,1","0,64","0,765","0,51","0,864","9,2",4,283.09999999999997,14,85,Daniil Medvedev,283.1,283.1,% 1st Serve,-0.8375000000000055,"10-
20%"
93,13,Daniil Medvedev,"283,1","0,64","0,765","0,51","0,864","9,2",4,283.09999999999997,14,86,Daniil Medvedev,283.1,283.1,% 1st Serve Points Won,4.199999999999986,"10-
20%"
94,13,Daniil Medvedev,"283,1","0,64","0,765","0,51","0,864","9,2",4,283.09999999999997,14,87,Daniil Medvedev,283.1,283.1,% 2nd Serve Points Won,-0.1750000000000054,"10-
20%"
95,13,Daniil Medvedev,"283,1","0,64","0,765","0,51","0,864","9,2",4,283.09999999999997,14,88,Daniil Medvedev,283.1,283.1,% Service Games Won,5.887499999999986,"10-
20%"
96,13,Daniil Medvedev,"283,1","0,64","0,765","0,51","0,864","9,2",4,283.09999999999997,14,89,Daniil Medvedev,283.1,283.1,Avg. Aces/ Match,1.0124999999999966,"10-
20%"
97,13,Daniil Medvedev,"283,1","0,64","0,765","0,51","0,864","9,2",4,283.09999999999997,14,90,Daniil Medvedev,283.1,283.1,Avg. Double Faults/Match,-1.1249999999999991,"10-
20%"
98,15,Brandon Nakashima,283,"0,645","0,749","0,534","0,844","7,4","1,6",283.0,15,98,Brandon Nakashima,283.0,283.0,Serve Rating,0.0,"10-
20%"
99,15,Brandon Nakashima,283,"0,645","0,749","0,534","0,844","7,4","1,6",283.0,15,99,Brandon Nakashima,283.0,283.0,% 1st Serve,-0.5999999999999911,"10-
20%"
100,15,Brandon Nakashima,283,"0,645","0,749","0,534","0,844","7,4","1,6",283.0,15,100,Brandon Nakashima,283.0,283.0,% 1st Serve Points Won,2.562500000000003,"10-
20%"
101,15,Brandon Nakashima,283,"0,645","0,749","0,534","0,844","7,4","1,6",283.0,15,101,Brandon Nakashima,283.0,283.0,% 2nd Serve Points Won,2.4250000000000167,"10-
20%"
102,15,Brandon Nakashima,283,"0,645","0,749","0,534","0,844","7,4","1,6",283.0,15,102,Brandon Nakashima,283.0,283.0,% Service Games Won,3.6125000000000074,"10-
20%"
103,15,Brandon Nakashima,283,"0,645","0,749","0,534","0,844","7,4","1,6",283.0,15,103,Brandon Nakashima,283.0,283.0,Avg. Aces/ Match,-0.6375000000000162,"10-
20%"
104,15,Brandon Nakashima,283,"0,645","0,749","0,534","0,844","7,4","1,6",283.0,15,104,Brandon Nakashima,283.0,283.0,Avg. Double Faults/Match,1.4999999999999816,"10-
20%"
105,16,Marin Cilic,"282,5","0,588","0,784","0,515","0,857","11,5","3,4",282.5,16,105,Marin Cilic,282.5,282.5,Serve Rating,0.0,"10-
20%"
106,16,Marin Cilic,"282,5","0,588","0,784","0,515","0,857","11,5","3,4",282.5,16,106,Marin Cilic,282.5,282.5,% 1st Serve,-6.3000000000000105,"10-
20%"
