count,mean,std,min,25%,50%,75%,max,feature,strata,batch,qoi,weights,data,group
40.0,-0.0002153125,0.00016247503506456234,-0.0008374999999999999,-0.000278125,-0.000125,-0.000125,-8.750000000000001e-05,Y,60-80%,NONE,top_k,equal weights,Standard normal 2 vars,NONE
40.0,-0.00010249999999999998,4.341215710622296e-05,-0.000125,-0.000125,-0.000125,-8.750000000000001e-05,2.5e-05,X,80-100%,NONE,top_k,equal weights,Standard normal 2 vars,NONE
40.0,-0.0001475,4.3412157106222966e-05,-0.000275,-0.0001625,-0.000125,-0.000125,-0.000125,Y,80-100%,NONE,top_k,equal weights,Standard normal 2 vars,NONE
20.0,0.0010900000000000003,0.003173434135211619,-0.0042,-0.000675,0.001525,0.003125,0.0059,X,0-20%,0,top_k,equal weights,Standard normal 2 vars,NONE
20.0,0.0029100000000000003,0.003350907182744461,-0.0035499999999999998,0.00022500000000000005,0.0032,0.005525,0.0075,Y,0-20%,0,top_k,equal weights,Standard normal 2 vars,NONE
20.0,-0.0008275000000000001,0.0013150420245436226,-0.00385,-0.0015500000000000002,-0.000225,-0.000125,0.00075,X,20-40%,0,top_k,equal weights,Standard normal 2 vars,NONE
20.0,-0.0001725,0.0013150420245436226,-0.0017499999999999998,-0.000875,-0.0007750000000000001,0.00055,0.0028499999999999997,Y,20-40%,0,top_k,equal weights,Standard normal 2 vars,NONE
20.0,-3.7499999999999976e-05,0.0006054304688662266,-0.00165,-0.0002625,-2.5e-05,0.0001,0.00145,X,40-60%,0,top_k,equal weights,Standard normal 2 vars,NONE
20.0,-0.0009625,0.0006054304688662266,-0.00245,-0.0011,-0.000975,-0.0007375000000000001,0.00065,Y,40-60%,0,top_k,equal weights,Standard normal 2 vars,NONE
20.0,-1.0000000000000023e-05,0.000481117121094777,-0.0006000000000000001,-0.0005,-2.4999999999999998e-05,0.00042500000000000003,0.00075,X,60-80%,0,top_k,equal weights,Standard normal 2 vars,NONE
20.0,-0.00099,0.000481117121094777,-0.0017499999999999998,-0.0014250000000000003,-0.0009750000000000001,-0.0005,-0.0004,Y,60-80%,0,top_k,equal weights,Standard normal 2 vars,NONE
20.0,-0.000215,0.000310390246726855,-0.00055,-0.0005,-0.00027499999999999996,0.0001,0.0002,X,80-100%,0,top_k,equal weights,Standard normal 2 vars,NONE
20.0,-0.0007849999999999999,0.000310390246726855,-0.0012000000000000001,-0.0011,-0.0007250000000000001,-0.0005,-0.00045,Y,80-100%,0,top_k,equal weights,Standard normal 2 vars,NONE
20.0,0.0019625,0.0032199164340251537,-0.0027,-0.000675,0.0013750000000000001,0.004875,0.00635,X,0-20%,1,top_k,equal weights,Standard normal 2 vars,NONE
20.0,0.0020375,0.0024005413314939043,-0.0009000000000000001,-0.000275,0.002175,0.0032749999999999997,0.00615,Y,0-20%,1,top_k,equal weights,Standard normal 2 vars,NONE
20.0,-0.0011100000000000003,0.00124050074778823,-0.0028000000000000004,-0.0020750000000000005,-0.0012000000000000001,-0.0004125,0.0015,X,20-40%,1,top_k,equal weights,Standard normal 2 vars,NONE
20.0,0.00010999999999999996,0.00124050074778823,-0.0025,-0.0005875,0.00019999999999999998,0.001075,0.0018,Y,20-40%,1,top_k,equal weights,Standard normal 2 vars,NONE
20.0,-0.00018999999999999998,0.0011170449738861056,-0.0024,-0.0008500000000000001,-0.000575,0.0004375,0.00245,X,40-60%,1,top_k,equal weights,Standard normal 2 vars,NONE
20.0,-0.00081,0.0011170449738861059,-0.00345,-0.0014375,-0.00042500000000000003,-0.00015000000000000001,0.0014000000000000002,Y,40-60%,1,top_k,equal weights,Standard normal 2 vars,NONE
20.0,-0.000255,0.0006355478366193838,-0.001,-0.0005125,-0.0005,-0.0003875,0.00165,X,60-80%,1,top_k,equal weights,Standard normal 2 vars,NONE
20.0,-0.000745,0.0006355478366193838,-0.00265,-0.0006125,-0.0005,-0.0004875,0.0,Y,60-80%,1,top_k,equal weights,Standard normal 2 vars,NONE
20.0,-0.0004075,0.00015834256667445,-0.0005,-0.0005,-0.0005,-0.0003875,0.0,X,80-100%,1,top_k,equal weights,Standard normal 2 vars,NONE
20.0,-0.0005925,0.00015834256667445,-0.001,-0.0006125,-0.0005,-0.0005,-0.0005,Y,80-100%,1,top_k,equal weights,Standard normal 2 vars,NONE
40.0,0.26090187499999995,0.12229870472529124,0.051825,0.16427499999999998,0.24384999999999996,0.34914375,0.5675374999999999,X,0-20%,NONE,rank,different weights,Standard normal 2 vars,NONE
40.0,0.139098125,0.10412179492058314,-0.1750375,0.10325000000000001,0.152275,0.2045875,0.2941375,Y,0-20%,NONE,rank,different weights,Standard normal 2 vars,NONE
40.0,0.1153721875,0.14785031253184833,-0.19052499999999997,0.001884374999999999,0.104825,0.250615625,0.401225,X,20-40%,NONE,rank,different weights,Standard normal 2 vars,NONE
40.0,0.0846278125,0.14082472914528238,-0.23872500000000002,0.0067875,0.09760625,0.176746875,0.3023625,Y,20-40%,NONE,rank,different weights,Standard normal 2 vars,NONE
40.0,-0.029010625000000005,0.17004671335829555,-0.33527500000000005,-0.17360625000000002,-0.0473875,0.09204375000000001,0.3010625,X,40-60%,NONE,rank,different weights,Standard normal 2 vars,NONE
40.0,0.029010625,0.1798866722471775,-0.2641625,-0.111353125,0.0414625,0.185946875,0.31765,Y,40-60%,NONE,rank,different weights,Standard normal 2 vars,NONE
40.0,-0.09053,0.15966100656587445,-0.4299625,-0.1726875,-0.06246875,0.0345375,0.1114125,X,60-80%,NONE,rank,different weights,Standard normal 2 vars,NONE
40.0,-0.10947,0.1701711784243917,-0.3215,-0.26628125,-0.09518125000000002,-0.00043749999999999995,0.2518625,Y,60-80%,NONE,rank,different weights,Standard normal 2 vars,NONE
40.0,-0.2567334375,0.12131750864465522,-0.47838749999999997,-0.3397,-0.25138125,-0.18259999999999998,0.02105,X,80-100%,NONE,rank,different weights,Standard normal 2 vars,NONE
40.0,-0.14326656249999997,0.1095481998759162,-0.32855000000000006,-0.2262375,-0.16025625,-0.05763125,0.08647500000000001,Y,80-100%,NONE,rank,different weights,Standard normal 2 vars,NONE
20.0,0.257275,0.11646195052914333,0.05975,0.157725,0.27749999999999997,0.3460375,0.47055,X,0-20%,0,rank,different weights,Standard normal 2 vars,NONE
20.0,0.14272500000000002,0.10730363522070883,-0.16555,0.09338749999999998,0.161325,0.2205875,0.27745,Y,0-20%,0,rank,different weights,Standard normal 2 vars,NONE
20.0,0.1429625,0.16033005831310676,-0.2106,0.045275,0.149475,0.25355,0.39935000000000004,X,20-40%,0,rank,different weights,Standard normal 2 vars,NONE
20.0,0.057037500000000005,0.15460549530217735,-0.22435000000000002,-0.035675,0.03895,0.1854375,0.31560000000000005,Y,20-40%,0,rank,different weights,Standard normal 2 vars,NONE
20.0,-0.06606000000000001,0.1324073197213412,-0.33144999999999997,-0.1276875,-0.07785,0.0371,0.1276,X,40-60%,0,rank,different weights,Standard normal 2 vars,NONE
20.0,0.06606000000000001,0.14148893726514825,-0.2226,-0.022912499999999995,0.061649999999999996,0.178975,0.30445,Y,40-60%,0,rank,different weights,Standard normal 2 vars,NONE
20.0,-0.05301,0.15638260486787897,-0.36700000000000005,-0.1627125,0.003074999999999998,0.0598375,0.11935000000000001,X,60-80%,0,rank,different weights,Standard normal 2 vars,NONE
20.0,-0.14699,0.1523745148949577,-0.31695,-0.2768875,-0.208675,-0.060562500000000005,0.23199999999999998,Y,60-80%,0,rank,different weights,Standard normal 2 vars,NONE
20.0,-0.28116749999999996,0.12406755086496862,-0.46474999999999994,-0.3814375,-0.274225,-0.1878,-0.03925,X,80-100%,0,rank,different weights,Standard normal 2 vars,NONE
20.0,-0.11883249999999998,0.11733731994261584,-0.27575,-0.21935000000000002,-0.14982499999999999,0.002937500000000001,0.0863,Y,80-100%,0,rank,different weights,Standard normal 2 vars,NONE
20.0,0.27420750000000005,0.1267880092236436,0.11435000000000001,0.19323749999999998,0.2555,0.3424375,0.58735,X,0-20%,1,rank,different weights,Standard normal 2 vars,NONE
20.0,0.12579250000000003,0.10055616036900918,-0.17235,0.09878750000000001,0.156675,0.1835,0.27065,Y,0-20%,1,rank,different weights,Standard normal 2 vars,NONE
20.0,0.0753575,0.1258092700908382,-0.07135,-0.0243375,0.058124999999999996,0.1141625,0.3956,X,20-40%,1,rank,different weights,Standard normal 2 vars,NONE
20.0,0.12464250000000002,0.11898451389173564,-0.14254999999999998,0.08657500000000001,0.12375,0.1818875,0.31045,Y,20-40%,1,rank,different weights,Standard normal 2 vars,NONE
20.0,0.008122500000000001,0.18153090825343157,-0.25684999999999997,-0.14905,0.010324999999999999,0.179375,0.30195,X,40-60%,1,rank,different weights,Standard normal 2 vars,NONE
20.0,-0.008122500000000005,0.2070850883313681,-0.2737,-0.2249625,-0.0015000000000000013,0.18384999999999999,0.2952,Y,40-60%,1,rank,different weights,Standard normal 2 vars,NONE
20.0,-0.12483749999999998,0.18077430307241069,-0.44775,-0.26245,-0.08960000000000001,-0.0223,0.18175,X,60-80%,1,rank,different weights,Standard normal 2 vars,NONE
20.0,-0.0751625,0.1848248280734177,-0.33740000000000003,-0.22687500000000002,-0.10205,0.09295,0.24484999999999998,Y,60-80%,1,rank,different weights,Standard normal 2 vars,NONE
20.0,-0.23284999999999995,0.11880887127961802,-0.4717,-0.30266249999999995,-0.24779999999999996,-0.17986249999999998,0.021,X,80-100%,1,rank,different weights,Standard normal 2 vars,NONE
20.0,-0.16715,0.09765066900894605,-0.336,-0.22983750000000003,-0.196625,-0.08745,-0.00385,Y,80-100%,1,rank,different weights,Standard normal 2 vars,NONE
40.0,0.0007071968408540805,0.0004424552574746338,7.166197255723122e-05,0.0003499562536716196,0.00055552537573432,0.001029388128147679,0.0018096340074644235,X,0-20%,NONE,rank_score,different weights,Standard normal 2 vars,NONE
40.0,0.0003551555929118677,0.0003143574143285421,-0.0007243057866874486,0.00028638615106111047,0.00041800552603715,0.0005279082903219791,0.0007507369988809988,Y,0-20%,NONE,rank_score,different weights,Standard normal 2 vars,NONE
40.0,0.00023473475835099198,0.0003739643051062281,-0.0005350934349347088,-3.252925150174349e-05,0.0002029534461246619,0.0005594483498525264,0.001034815557072637,X,20-40%,NONE,rank_score,different weights,Standard normal 2 vars,NONE
40.0,0.00017065083439695203,0.0003562483663477712,-0.0006975770239918451,-2.2575438260570995e-05,0.00022053590226153252,0.00039152195952182146,0.0007117712044810899,Y,20-40%,NONE,rank_score,different weights,Standard normal 2 vars,NONE
40.0,-8.858671843711666e-05,0.00042258866362127463,-0.0008387587404325214,-0.0004558999604456407,-0.000130574813183382,0.00022170169218617525,0.0007196044683653005,X,40-60%,NONE,rank_score,different weights,Standard normal 2 vars,NONE
40.0,6.322593782806551e-05,0.00044014095639238,-0.000639811129867009,-0.0002600071193076762,8.526264684685894e-05,0.00043627057138442176,0.0007566556858899622,Y,40-60%,NONE,rank_score,different weights,Standard normal 2 vars,NONE
40.0,-0.00018638009677204013,0.0004066188447292509,-0.0011288462436121422,-0.0003625788382041516,-0.00012324189818786757,0.00014676654768004882,0.00029727661192921766,X,60-80%,NONE,rank_score,different weights,Standard normal 2 vars,NONE
40.0,-0.00022745064761062203,0.0004291487129132287,-0.0007425542604049074,-0.0006244722120631737,-0.00021220349315003782,1.171060098425812e-05,0.0007140033662116529,Y,60-80%,NONE,rank_score,different weights,Standard normal 2 vars,NONE
40.0,-0.0006669647839959159,0.0003887131643643767,-0.0016903659925355757,-0.0009009982664436136,-0.0006393339850442955,-0.0004298219986994149,0.00014773961583937424,X,80-100%,NONE,rank_score,different weights,Standard normal 2 vars,NONE
40.0,-0.00036158171752626327,0.00031326098723817423,-0.000743344314110038,-0.0006294550968407954,-0.00045887131287883,-0.0001067123367486647,0.0003148655874101624,Y,80-100%,NONE,rank_score,different weights,Standard normal 2 vars,NONE
20.0,0.0013245832889119938,0.0008117768699459387,0.0002508834793470318,0.0006727063677823136,0.001026148954578348,0.0020363906414823975,0.002897669681504905,X,0-20%,0,rank_score,different weights,Standard normal 2 vars,NONE
20.0,0.0007578403642036788,0.000584115780396922,-0.0011493306222530955,0.0006890655764699136,0.0008683959311619898,0.001023170039177435,0.0015303767883305425,Y,0-20%,0,rank_score,different weights,Standard normal 2 vars,NONE
20.0,0.00038409730157707285,0.0007608676254654943,-0.0005891859379666181,-0.0002193336733830906,0.0002560285484677748,0.0009383446297163427,0.0018651382728282454,X,20-40%,0,rank_score,different weights,Standard normal 2 vars,NONE
20.0,0.00048756311826351573,0.0007024948802634237,-0.0009788879715611912,8.098382021361309e-05,0.0006175483002968131,0.0009340322248667644,0.0014854793641111287,Y,20-40%,0,rank_score,different weights,Standard normal 2 vars,NONE
20.0,-0.00011894920504950297,0.0009060131595816758,-0.0013775743973093407,-0.0010447882619585836,-1.814369816184382e-05,0.0004909179671492071,0.001412002797169675,X,40-60%,0,rank_score,different weights,Standard normal 2 vars,NONE
20.0,0.0001324799257050713,0.0009771050629371117,-0.0012176853045850686,-0.0006858671881671409,8.531311421741271e-05,0.0009848732990967877,0.0015752483269288744,Y,40-60%,0,rank_score,different weights,Standard normal 2 vars,NONE
20.0,-0.00011016772833234946,0.0006672176213093502,-0.0019595468651890354,-0.0002995649171572038,1.738349271321145e-05,0.0003211331787061359,0.0005673470842975098,X,60-80%,0,rank_score,different weights,Standard normal 2 vars,NONE
20.0,-0.0007067841770714192,0.0007669404565459631,-0.0014247516730711265,-0.0012890620559245112,-0.0010977684724110283,-0.0003426389275317912,0.0013175565354173319,Y,60-80%,0,rank_score,different weights,Standard normal 2 vars,NONE
20.0,-0.0014795636571072138,0.0008191997239521,-0.0034079381246320778,-0.0019013236580477898,-0.001305874109649517,-0.000955243997084272,-7.483147525040247e-05,X,80-100%,0,rank_score,different weights,Standard normal 2 vars,NONE
20.0,-0.0006710992311008467,0.0006369959065217718,-0.0013645396154627638,-0.001209066641021367,-0.0009917097131085962,-0.00012061843343319845,0.0005324214049840993,Y,80-100%,0,rank_score,different weights,Standard normal 2 vars,NONE
20.0,0.0015512989448299818,0.0009231701233758255,0.0004213278818329808,0.0008354357020895338,0.001254671803461364,0.0020295674996550295,0.0036464741544897736,X,0-20%,1,rank_score,different weights,Standard normal 2 vars,NONE
