Institution,Count AI,Count Systems,Count Theory,Count Interdisciplinary
Virginia Tech,5.107130783536025,6.971023537048013,1.7971155352556192,4.412006343751857
Univ. of California - Davis,4.492362661544619,7.839241130287317,1.742264991204467,4.078732648198103
Johns Hopkins University,4.58415078828953,7.932932614707867,1.5627458095111804,4.030709487535618
Oregon State University,4.577261254657557,7.836248434859776,1.5629642647954243,4.120211757573991
Indiana University,4.644024903101602,7.7556524762506545,1.4544343120390038,4.182588501887411
University of Central Florida,4.703940668732839,7.686736635317112,1.4211748091356022,4.262165928137301
University of Rochester,4.679568619507868,7.7428813325531145,1.374675557452086,4.244584489303501
Michigan State University,4.552309289804255,7.730195074225727,1.3736451180734495,4.430366925192822
Rochester Institute of Technology,4.596897139646398,7.649673373025926,1.4502904038940265,4.3811573832544415
University of Pittsburgh,4.518596136524277,7.87356514245268,1.4857404402632315,4.215749946025757
University of Texas at Dallas,4.599236799228773,7.825029031897594,1.4546283716593524,4.194169102313898
Washington University in St. Louis,5.119859247547523,5.633932707021503,1.465778368522568,6.124744142931983
University of Notre Dame,5.43791768290264,6.039007035872781,1.6211614668355996,5.3180344515015285
Univ. of California - Merced,5.836673883556224,6.024485005487526,2.6898702469119122,4.857988709328975
University of Delaware,5.9172064774961095,5.991859868780139,2.658976574104198,4.8329180966714915
University of Florida,5.354070897278321,6.073413164931516,1.6802310632060335,5.306188830755235
University of Texas at Arlington,5.928629494914421,6.227768855404504,2.6420704106176522,4.574166974795497
University of Connecticut,6.0655084055697435,6.292625010140521,2.6819948530668367,4.481179290060353
Binghamton University,7.0058837816225115,6.259749401227783,2.806584018208893,4.112704521957485
Clemson University,9.263220806479366,5.917249081371029,2.4097908233171315,3.8701207410863674
TTI Chicago,9.072038638582217,5.958813998197599,2.4248982967879873,3.8480496359152356
Vanderbilt University,7.187033261991561,6.124668316389268,2.6601603818102646,4.208463692736714
Worcester Polytechnic Institute,7.315062010841969,6.194458847026276,2.6586383303302052,4.115126098185414
California Institute of Technology,9.435406842541964,5.9288449631733995,2.3354694284307866,3.855145652157252
College of William and Mary,9.214245655135992,5.905186580121807,2.3314852684982945,3.911925410905986
Dartmouth College,9.21391850405412,5.899591585493571,2.3271344816777972,3.916174096928481
Florida State University,9.178806963488713,6.1497566855626165,2.206672637930587,3.788647658711429
Iowa State University,9.312928147842971,6.07157801688971,2.2136257218430893,3.8181700088138113
Stevens Institute of Technology,9.191444770715766,5.937689402450709,2.4418766367079163,3.8567411515931567
CUNY,7.41643220805591,7.123189155289104,1.8065817295701487,3.7341403123059376
Emory University,7.313420276498972,7.237216911857601,1.6772323091216583,3.7375671824593906
Georgetown University,7.225483190477642,7.221654114164279,1.6109966221381498,3.8331164912416593
NJIT,9.20103640102943,6.194010449611802,2.2325581137247204,3.7273840839722263
Tufts University,7.618877446328689,7.1853023254044075,1.9262341250664856,3.488973793301387
University of Arizona,9.36996032780694,6.178765824706928,2.1250202624953385,3.753275987850727
University of Oregon,9.209959503280437,6.188855784829607,2.211472150936376,3.7395391028879708
Colorado School of Mines,7.312320194917278,7.14607734144617,1.6012730287267292,4.0756261033771075
Illinois Institute of Technology,7.150049264183062,7.118499371800086,1.5980503960436179,4.014000929944574
Syracuse University,6.937216538995042,7.1168757973605405,1.5943093213070754,4.183490043606858
Temple University,7.119755900155417,7.109997846927427,1.5385469976000508,4.0907171863985425
Tulane University,7.214719240804791,7.22117121397662,1.5942307117147578,3.8516743316930975
University of Georgia,7.301994133745099,7.05357624685934,1.5146990367540258,4.225714682836485
University of Houston,7.319164242311078,7.123268094487431,1.5739053470113988,4.082844161992649
University of Nebraska,7.290190998694283,7.051893409062272,1.5720560371383152,4.229223305992121
University of Tennessee,8.069380438180007,6.908149693345209,1.343964226741013,4.207931752537495
Washington State University,7.1168776020300255,7.1417190589668,1.5308361751262418,4.04878793634494
Brigham Young University,9.613325998063418,6.826436557984557,1.415718926138549,3.8859709266735587
George Washington University,7.922636772327465,6.943788974704704,1.1345812314844637,4.251999052027337
Lehigh University,9.514482590880087,6.75972888489742,1.3470703197927454,3.948342777051401
UNC - Charlotte,8.037342559365289,6.971364089344653,1.432102423496989,4.116675030535529
University of Massachusetts Lowell,8.135775583300207,6.896031025739024,1.3023481597967954,4.224306104760457
University of South Carolina,8.120386290160695,6.937438097239332,1.3419985222305093,4.190415187998138
Wayne State University,9.58357095381392,6.813527339040151,1.4109230449466705,3.8751064863767737
Augusta University,9.160757815194412,6.815697776265181,1.437529414933098,4.144773452389285
Brandeis University,9.188536779873946,6.639737204132837,1.4621390720326792,4.254834791282677
Case Western Reserve University,9.235105087259969,6.7496629854757,1.4515347817542132,4.192455872701615
Drexel University,8.860348009707979,7.03060585757314,1.4464372237404024,4.03129285160749
Florida International University,8.998067179388652,6.698239734305317,1.3748998213055714,4.346065689781288
Portland State University,8.896747159603684,7.02970323203184,1.4341776517508822,4.023016055883926
Rensselaer Polytechnic Institute,9.734251467030997,6.759897367402554,1.4711521431905452,3.874001974542811
