,Count,Institution,Score,Faculty,Count AI,Faculty AI,Count Systems,Faculty Systems,Count Theory,Faculty Theory,Count Interdisciplinary,Faculty Interdisciplinary
72,73,California Institute of Technology,1.8,13,3.6,7.0,1.2,2.0,3.4,5.0,1.7,5.0
73,73,College of William and Mary,1.8,16,2.0,7.0,2.0,13.0,1.1,1.0,1.6,7.0
74,73,Dartmouth College,1.8,18,2.8,8.0,1.1,4.0,2.1,3.0,2.7,12.0
75,73,Florida State University,1.8,18,1.5,6.0,1.8,11.0,2.4,2.0,1.6,9.0
76,73,Iowa State University,1.8,23,3.7,13.0,1.6,16.0,1.3,2.0,1.4,4.0
77,73,Stevens Institute of Technology,1.8,16,4.1,8.0,1.6,8.0,1.4,2.0,1.3,3.0
78,79,CUNY,1.7,33,2.9,15.0,1.4,11.0,2.3,8.0,1.5,7.0
79,79,Emory University,1.7,16,6.1,11.0,1.3,5.0,0.0,0.0,1.4,4.0
80,79,Georgetown University,1.7,17,3.1,9.0,1.4,10.0,3.6,5.0,1.0,1.0
81,79,NJIT,1.7,22,2.6,13.0,1.8,14.0,1.3,4.0,1.3,5.0
82,79,Tufts University,1.7,17,2.6,7.0,1.4,7.0,1.1,1.0,2.1,12.0
83,79,University of Arizona,1.7,20,4.5,10.0,1.4,8.0,1.1,1.0,1.5,6.0
84,79,University of Oregon,1.7,15,5.9,7.0,1.4,9.0,1.0,1.0,1.2,3.0
85,86,Colorado School of Mines,1.6,11,2.2,4.0,1.4,5.0,1.1,1.0,1.7,8.0
86,86,Illinois Institute of Technology,1.6,17,3.0,7.0,1.8,11.0,0.0,0.0,1.1,1.0
87,86,Syracuse University,1.6,19,2.9,13.0,1.6,11.0,1.1,1.0,1.2,4.0
88,86,Temple University,1.6,17,5.6,11.0,1.2,5.0,0.0,0.0,1.4,8.0
89,86,Tulane University,1.6,12,3.8,6.0,1.3,3.0,1.2,1.0,1.5,4.0
90,86,University of Georgia,1.6,15,2.8,10.0,1.6,9.0,0.0,0.0,1.2,2.0
91,86,University of Houston,1.6,14,3.3,8.0,1.2,4.0,1.3,1.0,1.6,6.0
92,86,University of Nebraska,1.6,17,1.8,4.0,1.3,10.0,1.4,2.0,2.0,7.0
93,86,University of Tennessee,1.6,14,1.9,8.0,1.6,9.0,0.0,0.0,1.5,6.0
94,86,Washington State University,1.6,18,2.9,9.0,1.8,13.0,0.0,0.0,1.1,2.0
95,96,Brigham Young University,1.5,20,3.1,14.0,1.1,2.0,0.0,0.0,1.6,13.0
96,96,George Washington University,1.5,13,1.5,4.0,1.8,9.0,1.1,1.0,1.3,4.0
97,96,Lehigh University,1.5,15,3.1,8.0,1.1,5.0,0.0,0.0,1.9,8.0
98,96,UNC - Charlotte,1.5,19,2.1,12.0,1.3,5.0,0.0,0.0,2.1,10.0
99,96,University of Massachusetts Lowell,1.5,22,2.8,8.0,1.4,10.0,0.0,0.0,1.4,7.0
